Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors
"[255, 255, 0]",0,5,0.48976296999899205,1,2
"[0, 0, 255]",2,10,0.5201302519999444,1,2
"[0, 0, 255]",0,20,0.48665303499728907,1,2
"[0, 0, 255]",2,30,0.4207919309992576,1,2
"[0, 0, 255]",2,30,0.418872612004634,1,2
"[0, 0, 255]",2,40,0.43359268199128564,1,2
"[255, 255, 0]",2,35,0.4269300260057207,0,2
"[255, 255, 0]",2,0,0.4296605759882368,1,2
"[255, 255, 0]",2,5,0.4179265170096187,1,2
"[0, 0, 255]",2,5,0.5372927300049923,1,2
"[255, 255, 0]",2,20,0.5698143760091625,1,2
"[0, 0, 255]",0,10,0.4993164820043603,1,2
"[255, 255, 0]",2,15,0.4663947149965679,1,2
"[0, 0, 255]",0,30,0.46296080900356174,1,2
"[0, 0, 255]",0,35,0.4852207749936497,1,2
"[0, 0, 255]",0,10,0.5128718260093592,0,2
"[255, 255, 0]",2,20,0.5631241670052987,1,2
"[255, 255, 0]",0,5,0.5203956280020066,1,2
"[255, 255, 0]",0,10,0.47245496600226033,1,2
"[0, 0, 255]",0,35,0.5153013250092044,1,2
"[0, 0, 255]",0,20,0.47156476699456107,1,2
"[255, 255, 0]",2,0,0.5328010910016019,1,2
"[0, 0, 255]",0,40,0.48663044000568334,1,2
"[255, 255, 0]",0,25,0.4941832359909313,1,2
"[255, 255, 0]",2,20,0.5730173120100517,1,2
"[255, 255, 0]",2,10,0.4818350610003108,1,2
"[0, 0, 255]",0,25,0.5813602499983972,1,2
"[255, 255, 0]",0,0,0.6792601269989973,1,2
"[0, 0, 255]",0,25,0.5583613549970323,1,2
"[255, 255, 0]",2,20,0.5446025600103894,1,2
"[255, 255, 0]",0,40,0.5620255670073675,1,2
"[255, 255, 0]",2,30,1.018828278989531,0,2
"[255, 255, 0]",0,5,0.5066334669973003,1,2
"[255, 255, 0]",2,25,0.49299999700451735,1,2
"[0, 0, 255]",2,20,0.4848862210055813,1,2
"[0, 0, 255]",0,0,0.4839438070048345,1,2
"[0, 0, 255]",0,25,0.46719100000336766,1,2
"[0, 0, 255]",0,5,0.4260765600047307,1,2
"[0, 0, 255]",0,0,0.45970561901049223,1,2
"[0, 0, 255]",2,0,0.40222978200472426,1,2
"[0, 0, 255]",2,35,0.5154816220019711,1,2
"[0, 0, 255]",2,0,0.43501649099926,1,2
"[255, 255, 0]",0,35,0.5446457380021457,1,2
"[255, 255, 0]",0,25,0.4964279220002936,1,2
"[0, 0, 255]",0,30,0.5271951509930659,1,2
"[255, 255, 0]",2,15,0.5308675289998064,1,2
"[0, 0, 255]",2,15,0.500423151999712,1,2
"[0, 0, 255]",0,0,0.5071188090078067,1,2
"[255, 255, 0]",2,35,0.4950613250111928,1,2
"[255, 255, 0]",2,35,0.465593250002712,1,2
"[255, 255, 0]",2,15,0.4479515119892312,1,2
"[255, 255, 0]",0,20,0.44431407799129374,1,2
"[255, 255, 0]",2,15,0.4600027720007347,1,2
"[255, 255, 0]",2,10,0.4408473780058557,1,2
"[0, 0, 255]",2,15,0.5717032499960624,1,2
"[255, 255, 0]",0,40,0.5135607779957354,1,2
"[0, 0, 255]",0,20,0.5280422540090512,1,2
"[255, 255, 0]",2,0,0.4796185709856218,1,2
"[0, 0, 255]",2,35,0.5474295599997276,1,2
"[255, 255, 0]",0,20,0.4711853319895454,1,2
"[0, 0, 255]",0,10,0.551088954001898,1,2
"[255, 255, 0]",2,25,0.48189933599496726,1,2
"[0, 0, 255]",0,35,0.5406562149873935,1,2
"[255, 255, 0]",2,30,0.511559574995772,0,2
"[0, 0, 255]",2,20,0.5867731570033357,1,2
"[255, 255, 0]",2,10,0.4672992840060033,1,2
"[255, 255, 0]",2,25,0.6761995209963061,1,2
"[0, 0, 255]",2,40,0.5534010200062767,1,2
"[255, 255, 0]",0,35,0.4822111679968657,1,2
"[0, 0, 255]",0,30,0.45904252798936795,1,2
"[0, 0, 255]",2,5,0.3752837709907908,1,2
"[255, 255, 0]",2,30,0.4743226550053805,1,2
"[255, 255, 0]",2,40,0.4585109850013396,1,2
"[255, 255, 0]",0,15,0.4710678480041679,1,2
"[255, 255, 0]",0,15,0.4051959939970402,1,2
"[0, 0, 255]",2,40,0.30024295298790094,0,2
"[255, 255, 0]",0,10,0.41823549900436774,1,2
"[255, 255, 0]",0,40,0.5306664490053663,1,2
"[255, 255, 0]",0,20,0.47713558000396006,1,2
"[255, 255, 0]",0,10,0.49650680999911856,1,2
"[0, 0, 255]",0,0,0.441942265999387,1,2
"[0, 0, 255]",2,0,0.5260150300018722,1,2
"[255, 255, 0]",0,15,0.4734606019919738,1,2
"[255, 255, 0]",2,5,0.4537088409997523,1,2
"[255, 255, 0]",2,40,0.48280002000683453,1,2
"[255, 255, 0]",2,20,0.4447440980002284,1,2
"[0, 0, 255]",0,0,0.5019950389978476,1,2
"[0, 0, 255]",2,30,0.5922280090017011,1,2
"[255, 255, 0]",2,35,0.5776869200053625,1,2
"[255, 255, 0]",2,35,0.4391453030111734,1,2
"[255, 255, 0]",0,30,0.5429224210092798,1,2
"[255, 255, 0]",0,0,0.4687908670020988,1,2
"[0, 0, 255]",0,30,0.5070643359940732,1,2
"[0, 0, 255]",2,5,0.49264089099597186,1,2
"[0, 0, 255]",2,35,0.41948660201160237,1,2
"[255, 255, 0]",0,10,0.43775772700610105,1,2
"[255, 255, 0]",0,25,0.4999757409968879,1,2
"[255, 255, 0]",2,0,0.5050096799968742,1,2
"[0, 0, 255]",0,20,0.5280802499910351,1,2
"[0, 0, 255]",2,5,0.4629938019934343,1,2
"[255, 255, 0]",0,15,0.44272159499814734,1,2
"[0, 0, 255]",0,0,0.5397289269894827,1,2
"[255, 255, 0]",0,0,0.5061467479972634,1,2
"[255, 255, 0]",0,25,0.4516798929980723,1,2
"[255, 255, 0]",0,20,0.4464417790004518,1,2
"[255, 255, 0]",2,0,0.44444057799410075,1,2
"[255, 255, 0]",0,10,0.4466418910014909,1,2
"[0, 0, 255]",0,40,0.5644203280098736,1,2
"[255, 255, 0]",0,5,0.4486084939999273,1,2
"[0, 0, 255]",0,35,0.4760741619975306,1,2
"[255, 255, 0]",0,20,0.8693233200028772,1,2
"[0, 0, 255]",2,20,0.4732032479951158,1,2
"[255, 255, 0]",2,35,0.5786631780065363,1,2
"[0, 0, 255]",2,5,0.5665501830080757,1,2
"[255, 255, 0]",2,10,0.5583408850070555,1,2
"[255, 255, 0]",0,30,0.43407009000657126,1,2
"[0, 0, 255]",0,20,0.530908796004951,1,2
"[0, 0, 255]",0,30,0.566790253011277,1,2
"[0, 0, 255]",0,40,0.48916999298671726,1,2
"[0, 0, 255]",0,0,0.5278426400036551,1,2
"[0, 0, 255]",2,10,0.3982689889962785,1,2
"[255, 255, 0]",2,40,0.5305804050003644,1,2
"[0, 0, 255]",0,40,0.6123261109896703,1,2
"[0, 0, 255]",2,25,0.4389470239984803,1,2
"[0, 0, 255]",0,15,0.48137604600924533,1,2
"[255, 255, 0]",2,15,0.41298606699274387,0,2
"[255, 255, 0]",2,25,0.6209701920015505,1,2
"[0, 0, 255]",0,5,0.5775883159949444,1,2
"[255, 255, 0]",2,10,0.5782907890097704,1,2
"[255, 255, 0]",2,25,0.47960614500334486,1,2
"[255, 255, 0]",0,25,0.45144314599747304,1,2
"[0, 0, 255]",0,30,0.6756425240018871,1,2
"[255, 255, 0]",0,15,0.4710623020073399,1,2
"[255, 255, 0]",0,30,0.46487837699532975,1,2
"[0, 0, 255]",2,40,0.5102279220009223,1,2
"[0, 0, 255]",0,35,0.4945132499997271,1,2
"[0, 0, 255]",0,40,0.47213197000382934,1,2
"[0, 0, 255]",2,15,0.45577705699543003,1,2
"[0, 0, 255]",2,10,0.5146963559964206,1,2
"[0, 0, 255]",0,25,0.4530653730034828,1,2
"[255, 255, 0]",2,30,0.5050598769885255,1,2
"[0, 0, 255]",0,25,0.5570500399917364,1,2
"[255, 255, 0]",2,30,0.47076614100660663,1,2
"[255, 255, 0]",0,30,0.445188928002608,1,2
"[255, 255, 0]",0,5,0.403170007004519,1,2
"[0, 0, 255]",2,15,0.49571051000384614,1,2
"[255, 255, 0]",2,0,0.49493485799757764,1,2
"[255, 255, 0]",0,10,0.4299901369959116,1,2
"[255, 255, 0]",0,35,0.39997180199134164,1,2
"[0, 0, 255]",2,0,0.4918386099889176,1,2
"[255, 255, 0]",2,5,0.44571500999154523,1,2
"[0, 0, 255]",2,20,0.5103526129969396,1,2
"[0, 0, 255]",2,30,0.4695595149969449,1,2
"[255, 255, 0]",2,10,0.5001507379929535,1,2
"[255, 255, 0]",2,15,0.4056839039985789,1,2
"[0, 0, 255]",2,35,0.5105056549946312,1,2
"[255, 255, 0]",0,15,0.4951402400038205,1,2
"[0, 0, 255]",2,25,0.6000182720017619,1,2
"[0, 0, 255]",0,5,0.48575926199555397,1,2
"[255, 255, 0]",0,40,0.49155506199167576,1,2
"[255, 255, 0]",0,5,0.68716803699499,1,2
"[0, 0, 255]",2,10,0.5008323399961228,1,2
"[255, 255, 0]",0,35,0.538002506000339,1,2
"[0, 0, 255]",0,5,0.46965408299001865,0,2
"[0, 0, 255]",2,40,0.4842817120079417,1,2
"[0, 0, 255]",2,35,0.5740518739912659,1,2
"[255, 255, 0]",0,15,0.47132292301103007,1,2
"[0, 0, 255]",2,20,0.5420832460076781,1,2
"[0, 0, 255]",2,25,0.5091278479958419,1,2
"[255, 255, 0]",0,15,0.4760594779945677,1,2
"[255, 255, 0]",2,20,0.4655281090090284,1,2
"[255, 255, 0]",0,15,0.4144589680072386,1,2
"[255, 255, 0]",2,15,0.5139846889942419,1,2
"[0, 0, 255]",2,15,0.5595972230075859,1,2
"[0, 0, 255]",2,0,0.633870763995219,1,2
"[0, 0, 255]",0,40,0.6716200520022539,1,3
"[255, 0, 0]",0,25,0.5432081690087216,1,3
"[255, 0, 0]",0,0,0.4879274550039554,1,3
"[255, 0, 0]",0,10,0.44007030699867755,1,3
"[255, 0, 0]",2,0,0.42847111201263033,1,3
"[255, 255, 0]",2,25,0.46041679799964186,1,3
"[255, 0, 0]",0,5,0.40510020600049756,1,3
"[0, 0, 255]",2,0,0.5965983260102803,1,3
"[255, 0, 0]",0,35,0.4703111740091117,1,3
"[0, 0, 255]",0,20,0.5056556850031484,1,3
"[255, 255, 0]",0,0,0.4357920959882904,1,3
"[0, 0, 255]",0,40,0.5327050409978256,1,3
"[0, 0, 255]",2,0,0.4918486790120369,1,3
"[255, 0, 0]",2,40,0.5133028699929127,1,3
"[0, 0, 255]",0,5,0.5038704259932274,1,3
"[255, 0, 0]",0,35,0.5790837250096956,1,3
"[0, 0, 255]",0,25,0.5355731020099483,1,3
"[255, 0, 0]",0,20,0.5482037059991853,1,3
"[0, 0, 255]",2,10,0.5284607049979968,1,3
"[255, 0, 0]",2,40,0.49128990600002,1,3
"[0, 0, 255]",2,40,0.566738287001499,1,3
"[255, 255, 0]",2,15,0.48078979599813465,1,3
"[255, 255, 0]",0,15,0.47250544499547686,1,3
"[0, 0, 255]",0,5,0.43003264399885666,1,3
"[255, 255, 0]",0,5,0.448717413994018,1,3
"[255, 255, 0]",0,5,0.5529786050028633,1,3
"[0, 0, 255]",2,30,0.5194563679979183,1,3
"[0, 0, 255]",2,25,0.4618614700011676,1,3
"[0, 0, 255]",2,35,0.47103232200606726,1,3
"[0, 0, 255]",2,30,0.4809289550030371,1,3
"[255, 0, 0]",0,30,0.4981349350127857,1,3
"[255, 255, 0]",2,40,0.48225982900476083,1,3
"[255, 255, 0]",2,20,0.44549886099412106,1,3
"[255, 255, 0]",2,20,0.4399928509956226,1,3
"[255, 255, 0]",0,20,0.524190551994252,1,3
"[255, 255, 0]",2,10,0.4709729629976209,1,3
"[255, 0, 0]",0,35,0.6791721659974428,1,3
"[0, 0, 255]",0,5,0.5341606089932611,1,3
"[255, 0, 0]",2,30,0.5296167040069122,1,3
"[0, 0, 255]",2,15,0.5677558659954229,1,3
"[255, 0, 0]",2,10,0.5602045800042106,1,3
"[255, 0, 0]",0,30,0.7598052760004066,1,3
"[0, 0, 255]",2,40,0.5679055240034359,1,3
"[255, 0, 0]",0,20,0.5249913199950242,1,3
"[255, 0, 0]",0,25,0.4643525099963881,1,3
"[255, 255, 0]",0,15,0.5148762790049659,1,3
"[255, 255, 0]",2,10,0.46292593399994075,1,3
"[0, 0, 255]",0,0,0.5521175430039875,1,3
"[0, 0, 255]",2,10,0.44167397200362757,1,3
"[255, 0, 0]",2,30,0.4296352100063814,1,3
"[255, 0, 0]",2,5,0.4558057359972736,1,3
"[255, 0, 0]",2,35,0.4944257429888239,1,3
"[0, 0, 255]",0,30,0.5228669220086886,1,3
"[0, 0, 255]",2,40,0.49127635500917677,1,3
"[0, 0, 255]",0,5,0.42717769400042016,1,3
"[255, 255, 0]",0,20,0.5003043339966098,1,3
"[255, 255, 0]",2,40,0.49828963600157294,1,3
"[0, 0, 255]",2,0,0.5645278090087231,1,3
"[255, 0, 0]",2,5,0.47716161199787166,1,3
"[255, 0, 0]",2,40,0.4365426949952962,1,3
"[255, 0, 0]",2,15,0.48072380099620204,1,3
"[255, 0, 0]",0,20,0.4457251410058234,1,3
"[255, 0, 0]",0,10,0.4659116299881134,1,3
"[255, 0, 0]",2,15,0.4346739169995999,1,3
"[255, 0, 0]",2,30,0.4208370220003417,1,3
"[0, 0, 255]",0,30,0.5021238619956421,1,3
"[255, 255, 0]",2,30,0.4732457109930692,1,3
"[255, 0, 0]",0,35,0.4730755860073259,1,3
"[255, 0, 0]",0,15,0.4438569930061931,1,3
"[255, 255, 0]",0,35,0.4976585080003133,1,3
"[0, 0, 255]",0,25,0.46179939499415923,1,3
"[255, 255, 0]",0,15,0.37981066000065766,1,3
"[255, 255, 0]",2,5,0.43757037600153126,1,3
"[0, 0, 255]",0,40,0.5108248999895295,1,3
"[255, 0, 0]",2,35,0.5137350000004517,1,3
"[255, 0, 0]",0,25,0.5669769439991796,1,3
"[255, 0, 0]",0,20,0.4655779590102611,1,3
"[0, 0, 255]",0,40,0.533375970000634,1,3
"[255, 255, 0]",2,35,0.7622281950025354,1,3
"[0, 0, 255]",2,5,0.5434395159973064,1,3
"[255, 0, 0]",2,0,0.5049365190061508,1,3
"[255, 0, 0]",2,20,0.44938563300820533,1,3
"[255, 0, 0]",2,15,0.49879584700101987,1,3
"[255, 0, 0]",0,20,0.4166528749919962,1,3
"[0, 0, 255]",2,35,0.513213940008427,1,3
"[0, 0, 255]",2,15,0.4743565090029733,1,3
"[255, 255, 0]",2,30,0.5172797190025449,1,3
"[255, 0, 0]",2,10,0.46982467400084715,1,3
"[255, 0, 0]",0,10,0.4808952599996701,1,3
"[255, 0, 0]",2,15,0.5023003920068732,1,3
"[255, 0, 0]",0,25,0.43007301300531253,1,3
"[255, 0, 0]",2,40,0.4293107409903314,1,3
"[0, 0, 255]",2,30,0.5141207150008995,1,3
"[0, 0, 255]",2,5,0.5105823289923137,1,3
"[0, 0, 255]",0,15,0.4600936289934907,1,3
"[0, 0, 255]",0,0,0.48158659398905,1,3
"[255, 0, 0]",2,5,0.4733935679978458,1,3
"[255, 0, 0]",2,10,0.4753835820010863,1,3
"[255, 255, 0]",0,0,0.50472483500198,1,3
"[255, 255, 0]",0,40,0.5128692720027175,1,3
"[255, 0, 0]",0,15,0.47797598199394997,1,3
"[255, 255, 0]",0,25,0.5580382150074001,1,3
"[0, 0, 255]",0,15,0.6402047939918702,1,3
"[255, 255, 0]",2,0,0.553163446005783,1,3
"[255, 0, 0]",0,40,0.5166923490032787,1,3
"[255, 255, 0]",0,10,0.4408070229983423,1,3
"[0, 0, 255]",0,10,0.48655718899681233,1,3
"[255, 0, 0]",2,40,0.4545703160110861,1,3
"[0, 0, 255]",0,35,0.609367591998307,1,3
"[0, 0, 255]",2,30,0.5600063930032775,1,3
"[255, 0, 0]",2,25,0.4892237780004507,1,3
"[0, 0, 255]",0,20,0.5983267389965476,1,3
"[0, 0, 255]",0,5,0.5709180620033294,1,3
"[255, 0, 0]",2,5,0.4866644119902048,1,3
"[0, 0, 255]",2,25,0.4068399509997107,1,3
"[255, 255, 0]",0,35,0.447663211991312,1,3
"[255, 255, 0]",0,0,0.4415324940055143,1,3
"[255, 255, 0]",2,10,0.4896676700009266,1,3
"[255, 0, 0]",2,10,0.46198506199289113,1,3
"[0, 0, 255]",0,20,0.5121589400077937,1,3
"[255, 255, 0]",0,30,0.54491132099065,1,3
"[255, 255, 0]",2,35,0.50719006700092,1,3
"[255, 255, 0]",2,10,0.4175128609931562,1,3
"[255, 255, 0]",2,0,0.4446858430019347,1,3
"[0, 0, 255]",2,20,0.5067747350112768,1,3
"[255, 0, 0]",0,15,0.3790989469998749,1,3
"[255, 0, 0]",2,15,0.4770469880022574,1,3
"[0, 0, 255]",2,30,0.511155266998685,1,3
"[255, 255, 0]",0,30,0.5138379989948589,1,3
"[255, 255, 0]",0,5,0.4966388110042317,1,3
"[255, 0, 0]",0,30,0.660041324008489,1,3
"[255, 255, 0]",2,15,0.42221099699963816,1,3
"[255, 255, 0]",2,30,0.454839048004942,1,3
"[255, 255, 0]",0,5,0.42999845001031645,1,3
"[255, 255, 0]",2,40,0.42945275601232424,1,3
"[255, 0, 0]",2,35,0.8968037110025762,1,3
"[0, 0, 255]",0,40,0.5648800840135664,1,3
"[0, 0, 255]",0,25,0.5000436690024799,1,3
"[0, 0, 255]",0,35,0.45461888099089265,1,3
"[255, 255, 0]",2,15,0.4544429340021452,1,3
"[0, 0, 255]",2,0,0.5030711709987372,1,3
"[255, 0, 0]",0,40,0.4596915389993228,1,3
"[255, 0, 0]",2,0,0.424033880000934,1,3
"[0, 0, 255]",2,25,0.46164190700801555,1,3
"[0, 0, 255]",2,10,0.40602571300405543,1,3
"[0, 0, 255]",0,25,0.3983287970040692,1,3
"[255, 255, 0]",2,0,0.4873532490018988,1,3
"[0, 0, 255]",0,40,0.4743767710024258,1,3
"[255, 255, 0]",0,30,0.4786801839945838,1,3
"[0, 0, 255]",0,30,0.5632150969904615,1,3
"[0, 0, 255]",2,5,0.5443953490030253,1,3
"[0, 0, 255]",0,10,0.48393588500039186,1,3
"[0, 0, 255]",0,10,0.42364706400258,1,3
"[0, 0, 255]",2,20,0.4240299780067289,1,3
"[0, 0, 255]",0,0,0.4200145060021896,1,3
"[0, 0, 255]",2,35,0.4140060000063386,1,3
"[255, 255, 0]",2,25,0.49540453299414366,1,3
"[255, 255, 0]",0,0,0.4473708059958881,1,3
"[0, 0, 255]",0,15,0.5311503929988248,1,3
"[0, 0, 255]",0,30,0.4733065149921458,1,3
"[255, 255, 0]",2,35,0.5296784640086116,1,3
"[255, 255, 0]",0,0,0.3974732939968817,1,3
"[0, 0, 255]",2,0,0.5352562059997581,1,3
"[255, 0, 0]",2,25,0.5208939930016641,1,3
"[255, 0, 0]",2,40,0.4724993470008485,1,3
"[255, 0, 0]",2,5,0.4293200259999139,1,3
"[255, 255, 0]",0,0,0.5180691610003123,1,3
"[255, 0, 0]",0,20,0.5221859829907771,1,3
"[255, 255, 0]",0,10,0.4576489489991218,1,3
"[255, 255, 0]",0,15,0.44206296099582687,1,3
"[255, 255, 0]",0,30,0.4694202490063617,1,3
"[0, 0, 255]",0,35,0.48601245299505536,0,3
"[255, 0, 0]",2,5,0.44024601399723906,1,3
"[255, 0, 0]",0,20,0.5201656100107357,1,3
"[255, 0, 0]",2,20,0.4999890550097916,1,3
"[255, 0, 0]",0,25,0.5014962029963499,1,3
"[255, 0, 0]",0,15,0.48872183699859306,1,3
"[255, 255, 0]",0,40,0.5799398369999835,1,3
"[255, 255, 0]",2,20,0.4618773440015502,1,3
"[255, 255, 0]",0,35,0.43919601700326893,1,3
"[255, 255, 0]",0,15,0.4642683050042251,1,3
"[0, 0, 255]",2,25,0.49970809200021904,1,3
"[255, 0, 0]",0,30,0.4789823699975386,1,3
"[0, 0, 255]",0,5,0.4645662520051701,1,3
"[255, 255, 0]",0,20,0.5002452179905958,1,3
"[0, 0, 255]",2,15,0.5635848249949049,1,3
"[255, 255, 0]",2,35,0.44470745300350245,1,3
"[255, 255, 0]",0,25,0.48792176399729215,1,3
"[0, 0, 255]",0,0,0.5361468009941746,1,3
"[255, 255, 0]",0,40,0.4482609629922081,1,3
"[255, 255, 0]",2,30,0.5052734320051968,1,3
"[0, 0, 255]",0,25,0.5642952469934244,1,3
"[255, 255, 0]",0,40,0.495547324011568,1,3
"[0, 0, 255]",2,30,0.7625706239923602,1,3
"[0, 0, 255]",2,25,0.43230530701112,1,3
"[255, 255, 0]",0,25,0.43038627700298093,1,3
"[255, 255, 0]",2,35,0.4630825820058817,1,3
"[255, 0, 0]",0,10,0.5544671590032522,1,3
"[255, 255, 0]",0,35,0.43057660799240693,1,3
"[255, 0, 0]",0,35,0.5483244879869744,1,3
"[255, 0, 0]",0,0,0.45173878100467846,1,3
"[0, 0, 255]",0,35,0.5123278870014474,1,3
"[255, 255, 0]",0,20,0.484845390994451,1,3
"[255, 0, 0]",0,20,0.4527553529915167,1,3
"[255, 255, 0]",0,35,0.4936455239949282,1,3
"[0, 0, 255]",2,35,0.5359507140092319,1,3
"[0, 0, 255]",2,25,0.5345573049999075,1,3
"[255, 255, 0]",2,20,0.5125368760054698,1,3
"[255, 0, 0]",0,30,0.448545939012547,1,3
"[0, 0, 255]",2,10,0.5168684219970601,1,3
