Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors
"[255, 0, 0]",2,30,0.4371860609971918,1,2
"[0, 255, 0]",0,10,0.45853054799954407,0,2
"[0, 255, 0]",2,35,0.7430509600089863,1,2
"[255, 0, 0]",2,30,0.5569640629983041,1,2
"[255, 0, 0]",2,15,0.5246417050075252,1,2
"[0, 255, 0]",0,15,0.5190607489930699,1,2
"[0, 255, 0]",0,35,0.5500340949947713,1,2
"[0, 255, 0]",0,40,0.4474785179918399,1,2
"[0, 255, 0]",2,35,0.4950681199989049,1,2
"[0, 255, 0]",2,5,0.5351949330070056,1,2
"[255, 0, 0]",2,0,0.5647437230072683,1,2
"[255, 0, 0]",2,40,0.4854323619947536,1,2
"[0, 255, 0]",0,10,0.5374891419924097,1,2
"[0, 255, 0]",0,40,0.5174784139962867,1,2
"[0, 255, 0]",2,25,0.4696634389983956,1,2
"[255, 0, 0]",0,0,0.5019009170064237,1,2
"[0, 255, 0]",2,0,0.47032551899610553,1,2
"[0, 255, 0]",0,5,0.46431761399435345,1,2
"[0, 255, 0]",0,0,0.46954816998913884,1,2
"[255, 0, 0]",0,35,0.5066908220032929,1,2
"[0, 255, 0]",2,30,0.4760345079994295,1,2
"[0, 255, 0]",2,30,0.4504166330007138,1,2
"[255, 0, 0]",2,35,0.530600088997744,1,2
"[0, 255, 0]",0,25,0.43680388800567016,1,2
"[255, 0, 0]",0,5,0.4431024150107987,1,2
"[0, 255, 0]",0,30,0.47506815700035077,1,2
"[255, 0, 0]",0,40,0.5381056199985323,1,2
"[255, 0, 0]",2,35,0.5124241309968056,1,2
"[0, 255, 0]",2,25,0.4974042739922879,1,2
"[255, 0, 0]",2,0,0.49425397100276314,1,2
"[255, 0, 0]",2,10,0.40851568900689017,1,2
"[0, 255, 0]",0,20,0.465250940003898,1,2
"[255, 0, 0]",2,35,0.45222726599604357,1,2
"[0, 255, 0]",2,40,0.5316496300074505,1,2
"[0, 255, 0]",2,0,0.5042423139966559,1,2
"[0, 255, 0]",0,25,0.46028165699681267,1,2
"[255, 0, 0]",0,10,0.506349852992571,1,2
"[255, 0, 0]",0,5,0.49306524998974055,1,2
"[255, 0, 0]",2,35,0.5007506830006605,1,2
"[0, 255, 0]",0,35,0.5639651600067737,1,2
"[0, 255, 0]",2,10,0.634532845011563,1,2
"[255, 0, 0]",2,30,0.5304166529967915,1,2
"[0, 255, 0]",2,10,0.8581569009984378,1,2
"[255, 0, 0]",0,15,0.5050181059923489,1,2
"[0, 255, 0]",2,25,0.6286669880064437,1,2
"[255, 0, 0]",2,0,0.47375677499803714,1,2
"[0, 255, 0]",2,35,0.4838090379926143,1,2
"[255, 0, 0]",2,40,0.589432280001347,1,2
"[255, 0, 0]",2,30,0.6038982929894701,1,2
"[255, 0, 0]",0,10,0.5050219469994772,1,2
"[255, 0, 0]",0,0,0.489042729997891,1,2
"[0, 255, 0]",0,5,0.4682324010063894,1,2
"[0, 255, 0]",0,25,0.4414496719982708,1,2
"[0, 255, 0]",2,5,0.46614028500334825,1,2
"[255, 0, 0]",2,20,0.5725532719952753,1,2
"[0, 255, 0]",0,40,0.5334176230098819,1,2
"[0, 255, 0]",2,5,0.48102125199511647,1,2
"[255, 0, 0]",2,25,0.49337599900900386,1,2
"[0, 255, 0]",2,15,0.7388976250076666,1,2
"[0, 255, 0]",2,5,0.47777918200881686,1,2
"[255, 0, 0]",0,35,0.4667119280056795,1,2
"[255, 0, 0]",0,20,0.5595381540042581,1,2
"[255, 0, 0]",0,0,0.4705120839935262,1,2
"[0, 255, 0]",0,40,0.48599413299234584,1,2
"[0, 255, 0]",0,20,0.4417293190053897,1,2
"[0, 255, 0]",0,35,0.49662020899995696,1,2
"[255, 0, 0]",2,25,0.5731226339994464,1,2
"[0, 255, 0]",2,15,0.5452405750111211,1,2
"[255, 0, 0]",2,35,0.6248140969983069,1,2
"[0, 255, 0]",0,5,0.47578061498643365,1,2
"[255, 0, 0]",2,35,0.4672827629983658,1,2
"[0, 255, 0]",2,25,0.47340371600876097,1,2
"[0, 255, 0]",0,0,0.42917540200869553,1,2
"[255, 0, 0]",0,0,0.4813155750016449,1,2
"[0, 255, 0]",0,5,0.5596505800058367,1,2
"[0, 255, 0]",2,40,0.5117214269994292,1,2
"[255, 0, 0]",0,5,0.4996105809987057,1,2
"[0, 255, 0]",2,0,0.46720864000963047,1,2
"[255, 0, 0]",0,15,0.4458826870104531,1,2
"[0, 255, 0]",0,10,0.42719380599737633,1,2
"[255, 0, 0]",0,10,0.42267680999066215,0,2
"[255, 0, 0]",0,0,0.5044855110027129,1,2
"[255, 0, 0]",2,0,0.46107395700528286,1,2
"[255, 0, 0]",2,10,0.4245282869960647,1,2
"[255, 0, 0]",0,30,0.4640320670005167,1,2
"[255, 0, 0]",2,20,0.3933698859909782,1,2
"[0, 255, 0]",0,40,0.5094261440099217,1,2
"[255, 0, 0]",2,5,0.5013747299963143,1,2
"[0, 255, 0]",2,10,0.5382949600025313,1,2
"[255, 0, 0]",2,40,0.5178813000093214,1,2
"[0, 255, 0]",2,5,0.5105037650064332,1,2
"[255, 0, 0]",0,30,0.4322633559932001,1,2
"[0, 255, 0]",2,20,0.4992685750039527,1,2
"[0, 255, 0]",0,0,0.4567124169989256,1,2
"[255, 0, 0]",2,10,0.46245911000005435,1,2
"[0, 255, 0]",0,5,0.4294263189949561,1,2
"[255, 0, 0]",2,40,0.5457066020026105,1,2
"[255, 0, 0]",0,25,0.445904795997194,1,2
"[255, 0, 0]",2,35,0.5265557350066956,1,2
"[0, 255, 0]",0,35,0.46549971200875007,1,2
"[255, 0, 0]",2,30,0.528328036001767,1,2
"[0, 255, 0]",0,15,0.5146846510033356,1,2
"[0, 255, 0]",2,0,0.6751664240000537,1,2
"[255, 0, 0]",2,20,0.4633723139995709,1,2
"[255, 0, 0]",0,25,0.5937218900071457,1,2
"[0, 255, 0]",2,10,0.5267920339974808,1,2
"[255, 0, 0]",0,20,0.6631396949960617,1,2
"[0, 255, 0]",0,40,0.56138182299037,1,2
"[255, 0, 0]",0,35,0.5067417779937387,1,2
"[0, 255, 0]",2,20,0.5223222140048165,1,2
"[0, 255, 0]",0,0,0.5416879289987264,1,2
"[255, 0, 0]",2,0,0.5442458090110449,1,2
"[255, 0, 0]",2,25,0.501308388003963,1,2
"[0, 255, 0]",2,5,0.47044949499832,1,2
"[255, 0, 0]",2,15,0.45234947199060116,0,2
"[0, 255, 0]",0,10,0.5190474280097988,1,2
"[255, 0, 0]",0,5,0.5069052900071256,1,2
"[0, 255, 0]",0,0,0.603362661000574,1,2
"[255, 0, 0]",0,25,0.5374918730085483,1,2
"[255, 0, 0]",0,20,0.5200243169965688,1,2
"[255, 0, 0]",2,25,0.3962565010006074,1,2
"[255, 0, 0]",0,20,0.4473354700021446,1,2
"[0, 255, 0]",2,5,0.48149450299388263,1,2
"[255, 0, 0]",2,30,0.5157338879944291,1,2
"[0, 255, 0]",2,25,0.6218775369925424,1,2
"[0, 255, 0]",2,20,0.5168034890084527,1,2
"[255, 0, 0]",0,25,0.5051757100009127,1,2
"[0, 255, 0]",0,40,0.5208367580053164,1,2
"[255, 0, 0]",0,35,0.5170259709993843,1,2
"[0, 255, 0]",2,5,0.6536787060031202,1,2
"[0, 255, 0]",2,10,0.49604023998836055,1,2
"[255, 0, 0]",0,25,0.4524907680024626,1,2
"[255, 0, 0]",0,5,0.4650542529998347,1,2
"[0, 255, 0]",2,40,0.4849112590018194,1,2
"[0, 255, 0]",2,40,0.4918956019973848,1,2
"[0, 255, 0]",0,15,0.4380383179959608,1,2
"[0, 255, 0]",0,30,0.45488174799538683,1,2
"[0, 255, 0]",0,30,0.4948277310031699,1,2
"[0, 255, 0]",2,40,0.44098917400697246,1,2
"[255, 0, 0]",0,15,0.5681672349892324,1,2
"[255, 0, 0]",0,30,0.5641607029974693,1,2
"[255, 0, 0]",2,20,0.5491334319958696,1,2
"[255, 0, 0]",0,30,0.5542457659903448,1,2
"[0, 255, 0]",0,10,0.46230460600054357,1,2
"[255, 0, 0]",0,10,0.46264792399597354,1,2
"[255, 0, 0]",0,35,0.539895196998259,1,2
"[0, 255, 0]",0,20,0.5399242080020485,1,2
"[0, 255, 0]",0,30,0.45517522901354823,1,2
"[0, 255, 0]",2,15,0.43488679800066166,1,2
"[0, 255, 0]",2,25,0.44876994998776354,1,2
"[0, 255, 0]",0,40,0.4587026780063752,1,2
"[0, 255, 0]",0,30,0.44897312599641737,1,2
"[255, 0, 0]",0,10,0.4866131989983842,1,2
"[255, 0, 0]",0,15,0.48111691400117707,1,2
"[0, 255, 0]",0,30,0.439599734992953,1,2
"[0, 255, 0]",0,30,0.41914602799806744,1,2
"[255, 0, 0]",0,10,0.47902367799542844,1,2
"[255, 0, 0]",0,20,0.445730805004132,1,2
"[0, 255, 0]",0,15,0.42976951399759855,1,2
"[255, 0, 0]",2,0,0.47621174500091,1,2
"[0, 255, 0]",0,15,0.45166595200134907,1,2
"[255, 0, 0]",0,30,0.43792553299863357,1,2
"[0, 255, 0]",2,10,0.4461454450065503,1,2
"[255, 0, 0]",2,15,0.41705023701069877,1,2
"[255, 0, 0]",0,40,0.5103678570012562,1,2
"[255, 0, 0]",2,5,0.4679624280106509,1,2
"[0, 255, 0]",2,40,0.40586928199627437,1,2
"[0, 255, 0]",2,40,0.4556448689982062,1,2
"[0, 255, 0]",2,30,0.4900661800056696,1,2
"[255, 0, 0]",0,20,0.5918352790031349,0,2
