0.5885 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
170.3991 	EXP 	Cross: autoDraw = False
170.9824 	EXP 	polygon_2: autoDraw = True
171.2011 	EXP 	New trial (rep=9, index=0): None
171.2026 	DATA 	Keypress: b
171.2163 	EXP 	Cross: autoDraw = False
171.2163 	EXP 	polygon_2: autoDraw = False
172.1989 	EXP 	Cross: autoDraw = True
172.3991 	EXP 	Cross: autoDraw = False
173.1488 	EXP 	polygon_2: autoDraw = True
173.3004 	EXP 	New trial (rep=10, index=0): None
173.3017 	DATA 	Keypress: b
173.3155 	EXP 	Cross: autoDraw = False
173.3155 	EXP 	polygon_2: autoDraw = False
174.2994 	EXP 	Cross: autoDraw = True
174.4993 	EXP 	Cross: autoDraw = False
175.2491 	EXP 	polygon_2: autoDraw = True
175.4514 	EXP 	New trial (rep=11, index=0): None
175.4535 	DATA 	Keypress: b
175.4674 	EXP 	Cross: autoDraw = False
175.4674 	EXP 	polygon_2: autoDraw = False
176.4489 	EXP 	Cross: autoDraw = True
176.6488 	EXP 	Cross: autoDraw = False
177.1654 	EXP 	polygon_2: autoDraw = True
177.4015 	EXP 	New trial (rep=12, index=0): None
177.4036 	DATA 	Keypress: b
177.4173 	EXP 	Cross: autoDraw = False
177.4173 	EXP 	polygon_2: autoDraw = False
178.3988 	EXP 	Cross: autoDraw = True
178.5988 	EXP 	Cross: autoDraw = False
179.1671 	DATA 	Keypress: b
179.2488 	EXP 	polygon_2: autoDraw = True
179.5504 	EXP 	New trial (rep=13, index=0): None
179.5517 	DATA 	Keypress: b
179.5656 	EXP 	Cross: autoDraw = False
179.5656 	EXP 	polygon_2: autoDraw = False
180.5489 	EXP 	Cross: autoDraw = True
180.7488 	EXP 	Cross: autoDraw = False
181.1324 	EXP 	polygon_2: autoDraw = True
181.4006 	EXP 	New trial (rep=14, index=0): None
181.4019 	DATA 	Keypress: b
181.4156 	EXP 	Cross: autoDraw = False
181.4156 	EXP 	polygon_2: autoDraw = False
182.3986 	EXP 	Cross: autoDraw = True
182.5986 	EXP 	Cross: autoDraw = False
183.2655 	EXP 	polygon_2: autoDraw = True
183.8679 	EXP 	New trial (rep=15, index=0): None
183.8699 	DATA 	Keypress: b
183.8839 	EXP 	Cross: autoDraw = False
183.8839 	EXP 	polygon_2: autoDraw = False
184.8653 	EXP 	Cross: autoDraw = True
185.0654 	EXP 	Cross: autoDraw = False
185.4824 	EXP 	polygon_2: autoDraw = True
185.7514 	EXP 	New trial (rep=16, index=0): None
185.7529 	DATA 	Keypress: b
185.7667 	EXP 	Cross: autoDraw = False
185.7667 	EXP 	polygon_2: autoDraw = False
186.7487 	EXP 	Cross: autoDraw = True
186.9489 	EXP 	Cross: autoDraw = False
187.4984 	EXP 	polygon_2: autoDraw = True
187.7167 	EXP 	New trial (rep=17, index=0): None
187.7181 	DATA 	Keypress: b
187.7320 	EXP 	Cross: autoDraw = False
187.7320 	EXP 	polygon_2: autoDraw = False
188.7149 	EXP 	Cross: autoDraw = True
188.9149 	EXP 	Cross: autoDraw = False
189.2484 	EXP 	polygon_2: autoDraw = True
189.5165 	EXP 	New trial (rep=18, index=0): None
189.5180 	DATA 	Keypress: b
189.5319 	EXP 	Cross: autoDraw = False
189.5319 	EXP 	polygon_2: autoDraw = False
190.5155 	EXP 	Cross: autoDraw = True
190.7150 	EXP 	Cross: autoDraw = False
191.3655 	EXP 	polygon_2: autoDraw = True
191.3832 	EXP 	New trial (rep=19, index=0): None
191.3845 	DATA 	Keypress: b
191.3985 	EXP 	Cross: autoDraw = False
191.3985 	EXP 	polygon_2: autoDraw = False
192.3818 	EXP 	Cross: autoDraw = True
192.5817 	EXP 	Cross: autoDraw = False
192.9317 	EXP 	polygon_2: autoDraw = True
193.1677 	EXP 	New trial (rep=20, index=0): None
193.1696 	DATA 	Keypress: b
193.1835 	EXP 	Cross: autoDraw = False
193.1835 	EXP 	polygon_2: autoDraw = False
194.1650 	EXP 	Cross: autoDraw = True
194.3651 	EXP 	Cross: autoDraw = False
194.9983 	EXP 	polygon_2: autoDraw = True
195.0497 	EXP 	New trial (rep=21, index=0): None
195.0511 	DATA 	Keypress: b
195.0651 	EXP 	Cross: autoDraw = False
195.0651 	EXP 	polygon_2: autoDraw = False
196.0483 	EXP 	Cross: autoDraw = True
196.2484 	EXP 	Cross: autoDraw = False
196.9154 	EXP 	polygon_2: autoDraw = True
197.0511 	EXP 	New trial (rep=22, index=0): None
197.0533 	DATA 	Keypress: b
197.0671 	EXP 	Cross: autoDraw = False
197.0671 	EXP 	polygon_2: autoDraw = False
198.0482 	EXP 	Cross: autoDraw = True
198.2483 	EXP 	Cross: autoDraw = False
198.6982 	EXP 	polygon_2: autoDraw = True
198.9672 	EXP 	New trial (rep=23, index=0): None
198.9693 	DATA 	Keypress: b
198.9832 	EXP 	Cross: autoDraw = False
198.9832 	EXP 	polygon_2: autoDraw = False
199.9654 	EXP 	Cross: autoDraw = True
200.1647 	EXP 	Cross: autoDraw = False
200.5983 	EXP 	polygon_2: autoDraw = True
200.8503 	EXP 	New trial (rep=24, index=0): None
200.8520 	DATA 	Keypress: b
200.8659 	EXP 	Cross: autoDraw = False
200.8659 	EXP 	polygon_2: autoDraw = False
201.8481 	EXP 	Cross: autoDraw = True
202.0484 	EXP 	Cross: autoDraw = False
202.4653 	EXP 	polygon_2: autoDraw = True
202.6997 	EXP 	New trial (rep=25, index=0): None
202.7014 	DATA 	Keypress: b
202.7152 	EXP 	Cross: autoDraw = False
202.7152 	EXP 	polygon_2: autoDraw = False
203.6986 	EXP 	Cross: autoDraw = True
203.8985 	EXP 	Cross: autoDraw = False
204.2984 	EXP 	polygon_2: autoDraw = True
204.5333 	EXP 	New trial (rep=26, index=0): None
204.5346 	DATA 	Keypress: b
204.5484 	EXP 	Cross: autoDraw = False
204.5484 	EXP 	polygon_2: autoDraw = False
205.5313 	EXP 	Cross: autoDraw = True
205.7314 	EXP 	Cross: autoDraw = False
206.3315 	EXP 	polygon_2: autoDraw = True
206.3335 	DATA 	Keypress: b
206.7164 	EXP 	New trial (rep=27, index=0): None
206.7180 	DATA 	Keypress: b
206.7318 	EXP 	Cross: autoDraw = False
206.7318 	EXP 	polygon_2: autoDraw = False
207.7151 	EXP 	Cross: autoDraw = True
207.9151 	EXP 	Cross: autoDraw = False
208.3646 	EXP 	polygon_2: autoDraw = True
208.5832 	EXP 	New trial (rep=28, index=0): None
208.5846 	DATA 	Keypress: b
208.5985 	EXP 	Cross: autoDraw = False
208.5985 	EXP 	polygon_2: autoDraw = False
209.5818 	EXP 	Cross: autoDraw = True
209.7813 	EXP 	Cross: autoDraw = False
210.1481 	EXP 	polygon_2: autoDraw = True
210.1663 	EXP 	New trial (rep=29, index=0): None
210.1676 	DATA 	Keypress: b
210.1812 	EXP 	Cross: autoDraw = False
210.1812 	EXP 	polygon_2: autoDraw = False
211.1644 	EXP 	Cross: autoDraw = True
211.3644 	EXP 	Cross: autoDraw = False
211.8483 	EXP 	polygon_2: autoDraw = True
211.9992 	EXP 	New trial (rep=30, index=0): None
212.0006 	DATA 	Keypress: b
212.0145 	EXP 	Cross: autoDraw = False
212.0145 	EXP 	polygon_2: autoDraw = False
212.9978 	EXP 	Cross: autoDraw = True
213.1983 	EXP 	Cross: autoDraw = False
213.7815 	EXP 	polygon_2: autoDraw = True
213.9992 	EXP 	New trial (rep=31, index=0): None
214.0005 	DATA 	Keypress: b
214.0145 	EXP 	Cross: autoDraw = False
214.0145 	EXP 	polygon_2: autoDraw = False
214.9981 	EXP 	Cross: autoDraw = True
215.1978 	EXP 	Cross: autoDraw = False
215.8144 	EXP 	polygon_2: autoDraw = True
216.0502 	EXP 	New trial (rep=32, index=0): None
216.0525 	DATA 	Keypress: b
216.0664 	EXP 	Cross: autoDraw = False
216.0664 	EXP 	polygon_2: autoDraw = False
217.0476 	EXP 	Cross: autoDraw = True
217.2477 	EXP 	Cross: autoDraw = False
217.7644 	EXP 	polygon_2: autoDraw = True
218.0333 	EXP 	New trial (rep=33, index=0): None
218.0354 	DATA 	Keypress: b
218.0493 	EXP 	Cross: autoDraw = False
218.0493 	EXP 	polygon_2: autoDraw = False
