Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees)
"[255, 0, 0]",0,10,0.40516921,1,3,499,A,Overt,4
"[255, 0, 0]",2,10,0.40799535,1,3,504,A,Overt,4
"[255, 0, 0]",2,20,0.43460178,1,3,509,A,Overt,4
"[255, 0, 0]",0,0,0.37054077,1,3,511,A,Overt,4
"[255, 0, 0]",0,35,0.45016497,1,3,516,A,Overt,4
"[255, 0, 0]",0,35,0.4208477,1,3,522,A,Overt,4
"[255, 0, 0]",0,30,0.51224357,1,3,523,A,Overt,4
"[255, 0, 0]",2,25,0.4234886,1,3,526,A,Overt,4
"[255, 0, 0]",0,25,0.3426229,1,3,528,A,Overt,4
"[255, 0, 0]",2,5,0.38900667,1,3,532,A,Overt,4
"[255, 0, 0]",2,35,0.43182865,1,3,533,A,Overt,4
"[255, 0, 0]",0,10,0.394203,1,3,536,A,Overt,4
"[255, 0, 0]",2,35,0.55533811,1,3,539,A,Overt,4
"[255, 0, 0]",0,15,0.45160764,1,3,540,A,Overt,4
"[255, 0, 0]",0,30,0.36534021,1,3,541,A,Overt,4
"[255, 0, 0]",0,0,0.36092243,1,3,542,A,Overt,4
"[255, 0, 0]",2,15,0.35445675,1,3,543,A,Overt,4
"[255, 0, 0]",2,20,0.37931371,1,3,545,A,Overt,4
"[255, 0, 0]",0,40,0.38499852,1,3,550,A,Overt,4
"[255, 0, 0]",0,30,0.45525556,1,3,553,A,Overt,4
"[255, 0, 0]",0,30,0.35346765,1,3,557,A,Overt,4
"[255, 0, 0]",2,30,0.40253689,1,3,290,A,Overt,4
"[255, 0, 0]",2,15,0.37842758,1,3,294,A,Overt,4
"[255, 0, 0]",2,0,0.31573229,1,3,299,A,Overt,4
"[255, 0, 0]",2,25,0.39935691,1,3,302,A,Overt,4
"[255, 0, 0]",0,25,0.33960088,1,3,304,A,Overt,4
"[255, 0, 0]",0,30,0.36875835,1,3,306,A,Overt,4
"[255, 0, 0]",2,5,0.34928766,1,3,308,A,Overt,4
"[255, 0, 0]",2,5,0.33871022,1,3,309,A,Overt,4
"[255, 0, 0]",0,20,0.32239554,0,3,326,A,Overt,4
"[255, 0, 0]",0,10,0.33595196,1,3,329,A,Overt,4
"[255, 0, 0]",0,15,0.45068804,1,3,333,A,Overt,4
"[255, 0, 0]",0,40,0.38083814,1,3,335,A,Overt,4
"[255, 0, 0]",0,10,0.32221357,1,3,336,A,Overt,4
"[255, 0, 0]",0,15,0.35244269,1,3,339,A,Overt,4
"[255, 0, 0]",0,0,0.34473949,1,3,346,A,Overt,4
"[255, 0, 0]",0,5,0.34301904,1,3,349,A,Overt,4
"[255, 0, 0]",2,15,0.3151388,1,3,354,A,Overt,4
"[255, 0, 0]",0,20,0.35349963,1,3,356,A,Overt,4
"[255, 0, 0]",0,30,0.35020252,1,3,357,A,Overt,4
"[255, 0, 0]",0,0,0.29504943,1,3,361,A,Overt,4
"[255, 0, 0]",0,25,0.36999998,1,3,363,A,Overt,4
"[255, 0, 0]",2,20,0.3562815,1,3,364,A,Overt,4
"[255, 0, 0]",0,40,0.38989434,1,3,369,A,Overt,4
"[255, 0, 0]",0,5,0.32005824,1,3,373,A,Overt,4
"[255, 0, 0]",2,15,0.29041268,1,3,377,A,Overt,4
"[255, 0, 0]",2,30,0.38135813,1,3,378,A,Overt,4
"[255, 0, 0]",2,10,0.3253649,1,3,379,A,Overt,4
"[255, 0, 0]",2,15,0.29212248,1,3,382,A,Overt,4
"[255, 0, 0]",2,40,0.38538532,1,3,384,A,Overt,4
"[255, 0, 0]",0,10,0.34141182,1,3,385,A,Overt,4
"[255, 0, 0]",0,30,0.40930902,1,3,388,A,Overt,4
"[255, 0, 0]",2,0,0.293105,1,3,392,A,Overt,4
"[255, 0, 0]",2,20,0.37414967,1,3,396,A,Overt,4
"[255, 0, 0]",0,10,0.35605593,1,3,399,A,Overt,4
"[255, 0, 0]",2,10,0.35461394,1,3,402,A,Overt,4
"[255, 0, 0]",0,0,0.28250893,0,3,404,A,Overt,4
"[255, 0, 0]",2,30,0.36767369,1,3,406,A,Overt,4
"[255, 0, 0]",2,35,0.4101725,1,3,408,A,Overt,4
"[255, 0, 0]",0,5,0.31945607,1,3,410,A,Overt,4
"[255, 0, 0]",0,40,0.43163794,1,3,420,A,Overt,4
"[255, 0, 0]",0,35,0.41546253,1,3,429,A,Overt,4
"[255, 0, 0]",2,40,0.50123553,1,3,440,A,Overt,4
"[255, 0, 0]",2,20,0.36503455,1,3,441,A,Overt,4
"[255, 0, 0]",0,15,0.34962874,1,3,442,A,Overt,4
"[255, 0, 0]",2,25,0.33511618,0,3,446,A,Overt,4
"[255, 0, 0]",2,35,0.39370163,1,3,447,A,Overt,4
"[255, 0, 0]",2,30,0.33916346,1,3,448,A,Overt,4
"[255, 0, 0]",2,30,0.38717915,1,3,457,A,Overt,4
"[255, 0, 0]",0,30,0.3970997,1,3,464,A,Overt,4
"[255, 0, 0]",0,35,0.41918484,1,3,465,A,Overt,4
"[255, 0, 0]",2,0,0.27492727,0,3,468,A,Overt,4
"[255, 0, 0]",2,30,0.37597084,1,3,469,A,Overt,4
"[255, 0, 0]",2,5,0.31470222,1,3,470,A,Overt,4
"[255, 0, 0]",0,35,0.36829345,1,3,471,A,Overt,4
"[255, 0, 0]",2,0,0.30445703,1,3,472,A,Overt,4
"[255, 0, 0]",2,20,0.34817759,1,3,477,A,Overt,4
"[255, 0, 0]",0,0,0.38169299,1,3,486,A,Overt,4
"[255, 0, 0]",0,20,0.47115953,1,3,487,A,Overt,4
"[255, 0, 0]",2,25,0.43611887,1,3,492,A,Overt,4
"[255, 0, 0]",2,20,0.36237057,1,3,493,A,Overt,4
"[255, 0, 0]",0,15,0.36342322,1,3,494,A,Overt,4
"[255, 0, 0]",2,40,0.36928509,1,3,495,A,Overt,4
"[255, 0, 0]",2,15,0.34709909,1,3,499,A,Overt,4
"[255, 0, 0]",0,30,0.35478052,1,3,500,A,Overt,4
"[255, 0, 0]",2,35,0.40944602,1,3,509,A,Overt,4
"[255, 0, 0]",0,40,0.37250826,1,3,511,A,Overt,4
"[255, 0, 0]",2,20,0.35553245,1,3,513,A,Overt,4
"[255, 0, 0]",0,25,0.36718329,1,3,520,A,Overt,4
"[255, 0, 0]",0,10,0.37778974,1,3,526,A,Overt,4
"[255, 0, 0]",0,0,0.28369743,1,3,528,A,Overt,4
"[255, 0, 0]",2,15,0.42905685,1,3,531,A,Overt,4
"[255, 0, 0]",0,10,0.318546,1,3,537,A,Overt,4
"[255, 0, 0]",0,40,0.37771641,1,3,540,A,Overt,4
"[255, 0, 0]",0,35,0.38982296,1,3,541,A,Overt,4
"[255, 0, 0]",2,25,0.37593749,1,3,543,A,Overt,4
"[255, 0, 0]",0,35,0.38468987,1,3,544,A,Overt,4
"[255, 0, 0]",2,35,0.34218263,1,3,547,A,Overt,4
"[255, 0, 0]",0,0,0.29527651,1,3,550,A,Overt,4
"[255, 0, 0]",0,25,0.34595664,1,3,554,A,Overt,4
"[255, 0, 0]",2,35,0.3156474,1,3,556,A,Overt,4
"[255, 0, 0]",2,40,0.33752674,1,3,290,C,Overt,4
"[255, 0, 0]",2,10,0.34875497,1,3,291,C,Overt,4
"[255, 0, 0]",2,35,0.41659507,1,3,301,C,Overt,4
"[255, 0, 0]",2,25,0.55257583,1,3,303,C,Overt,4
"[255, 0, 0]",2,10,0.31794547,1,3,307,C,Overt,4
"[255, 0, 0]",2,25,0.3708652,1,3,311,C,Overt,4
"[255, 0, 0]",2,35,0.41003135,1,3,313,C,Overt,4
"[255, 0, 0]",2,20,0.37272554,1,3,314,C,Overt,4
"[255, 0, 0]",0,20,0.37975012,1,3,321,C,Overt,4
"[255, 0, 0]",0,30,0.34651764,1,3,322,C,Overt,4
"[255, 0, 0]",2,20,0.38553037,1,3,326,C,Overt,4
"[255, 0, 0]",2,25,0.39257259,1,3,330,C,Overt,4
"[255, 0, 0]",2,5,0.43009961,1,3,335,C,Overt,4
"[255, 0, 0]",0,10,0.4091808,1,3,341,C,Overt,4
"[255, 0, 0]",2,15,0.40368404,1,3,343,C,Overt,4
"[255, 0, 0]",0,35,0.41670025,1,3,344,C,Overt,4
"[255, 0, 0]",2,25,0.39587805,1,3,346,C,Overt,4
"[255, 0, 0]",2,30,0.56761821,1,3,351,C,Overt,4
"[255, 0, 0]",2,35,0.30566528,1,3,352,C,Overt,4
"[255, 0, 0]",0,10,0.33309594,1,3,353,C,Overt,4
"[255, 0, 0]",2,10,0.40443836,1,3,355,C,Overt,4
"[255, 0, 0]",0,20,0.42459567,1,3,361,C,Overt,4
"[255, 0, 0]",0,30,0.29433162,1,3,362,C,Overt,4
"[255, 0, 0]",2,10,0.36856318,1,3,370,C,Overt,4
"[255, 0, 0]",2,5,0.35881432,1,3,375,C,Overt,4
"[255, 0, 0]",0,0,0.3805933,1,3,376,C,Overt,4
"[255, 0, 0]",2,30,0.39171491,1,3,378,C,Overt,4
"[255, 0, 0]",0,10,0.36987294,1,3,384,C,Overt,4
"[255, 0, 0]",2,5,0.40376343,1,3,396,C,Overt,4
