Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees)
"[255, 0, 0]",2,35,0.45181109,1,3,292,A,Covert,4
"[255, 0, 0]",2,35,0.42481683,1,3,306,A,Covert,4
"[255, 0, 0]",0,0,0.32197663,1,3,307,A,Covert,4
"[255, 0, 0]",2,0,0.33565954,1,3,312,A,Covert,4
"[255, 0, 0]",0,20,0.42090292,1,3,313,A,Covert,4
"[255, 0, 0]",2,40,0.43867784,1,3,314,A,Covert,4
"[255, 0, 0]",0,5,0.37524664,1,3,317,A,Covert,4
"[255, 0, 0]",0,25,0.45052081,1,3,320,A,Covert,4
"[255, 0, 0]",0,15,0.41249085,1,3,325,A,Covert,4
"[255, 0, 0]",0,5,0.38517134,1,3,328,A,Covert,4
"[255, 0, 0]",2,15,0.40395235,1,3,330,A,Covert,4
"[255, 0, 0]",2,5,0.34654977,1,3,331,A,Covert,4
"[255, 0, 0]",2,15,0.40612711,1,3,332,A,Covert,4
"[255, 0, 0]",0,30,0.47471933,1,3,334,A,Covert,4
"[255, 0, 0]",2,15,0.37956752,1,3,335,A,Covert,4
"[255, 0, 0]",0,35,0.45525481,1,3,340,A,Covert,4
"[255, 0, 0]",2,35,0.45293398,1,3,344,A,Covert,4
"[255, 0, 0]",0,15,0.39695054,1,3,345,A,Covert,4
"[255, 0, 0]",0,0,0.34406383,1,3,348,A,Covert,4
"[255, 0, 0]",0,20,0.41916842,1,3,355,A,Covert,4
"[255, 0, 0]",0,25,0.37153463,1,3,357,A,Covert,4
"[255, 0, 0]",2,35,0.39903305,1,3,362,A,Covert,4
"[255, 0, 0]",0,30,0.46198363,1,3,365,A,Covert,4
"[255, 0, 0]",0,0,0.37187922,1,3,366,A,Covert,4
"[255, 0, 0]",2,15,0.32889779,1,3,368,A,Covert,4
"[255, 0, 0]",2,15,0.34063907,1,3,370,A,Covert,4
"[255, 0, 0]",2,35,0.40169529,1,3,373,A,Covert,4
"[255, 0, 0]",0,25,0.39983053,1,3,377,A,Covert,4
"[255, 0, 0]",0,10,0.34635027,1,3,380,A,Covert,4
"[255, 0, 0]",0,15,0.35216405,1,3,382,A,Covert,4
"[255, 0, 0]",0,20,0.35215748,1,3,384,A,Covert,4
"[255, 0, 0]",2,20,0.4210408,1,3,386,A,Covert,4
"[255, 0, 0]",0,5,0.32261308,1,3,387,A,Covert,4
"[255, 0, 0]",2,25,0.4052162,1,3,391,A,Covert,4
"[255, 0, 0]",0,0,0.31523766,1,3,392,A,Covert,4
"[255, 0, 0]",2,5,0.31284343,1,3,393,A,Covert,4
"[255, 0, 0]",2,20,0.42281054,1,3,394,A,Covert,4
"[255, 0, 0]",0,20,0.50490243,1,3,395,A,Covert,4
"[255, 0, 0]",0,35,0.43900864,1,3,401,A,Covert,4
"[255, 0, 0]",2,25,0.4931638,1,3,404,A,Covert,4
"[255, 0, 0]",0,10,0.36504684,1,3,407,A,Covert,4
"[255, 0, 0]",0,5,0.31716227,1,3,410,A,Covert,4
"[255, 0, 0]",2,30,0.42692907,1,3,411,A,Covert,4
"[255, 0, 0]",0,35,0.4814954,1,3,412,A,Covert,4
"[255, 0, 0]",2,25,0.37166111,1,3,414,A,Covert,4
"[255, 0, 0]",0,40,0.38232125,1,3,415,A,Covert,4
"[255, 0, 0]",0,20,0.40287454,1,3,417,A,Covert,4
"[255, 0, 0]",2,30,0.41393485,1,3,419,A,Covert,4
"[255, 0, 0]",0,20,0.39222924,1,3,430,A,Covert,4
"[255, 0, 0]",0,15,0.35647535,1,3,431,A,Covert,4
"[255, 0, 0]",0,10,0.43257525,1,3,435,A,Covert,4
"[255, 0, 0]",2,30,0.34180498,1,3,436,A,Covert,4
"[255, 0, 0]",2,30,0.41416017,1,3,440,A,Covert,4
"[255, 0, 0]",2,15,0.35911217,1,3,442,A,Covert,4
"[255, 0, 0]",2,40,0.37741373,1,3,443,A,Covert,4
"[255, 0, 0]",0,20,0.3532563,1,3,458,A,Covert,4
"[255, 0, 0]",0,35,0.46929537,1,3,459,A,Covert,4
"[255, 0, 0]",2,40,0.47131421,1,3,460,A,Covert,4
"[255, 0, 0]",2,5,0.35941153,1,3,462,A,Covert,4
"[255, 0, 0]",2,25,0.36156295,1,3,464,A,Covert,4
"[255, 0, 0]",0,35,0.41105902,1,3,465,A,Covert,4
"[255, 0, 0]",2,25,0.40271668,1,3,468,A,Covert,4
"[255, 0, 0]",0,30,0.36718479,1,3,471,A,Covert,4
"[255, 0, 0]",0,40,0.40799167,1,3,475,A,Covert,4
"[255, 0, 0]",0,40,0.39092234,1,3,477,A,Covert,4
