Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees),n = 12
"[255, 0, 0]",2,20,0.21847909,1,1,4,A,Covert,4,
"[255, 0, 0]",2,40,0.20798524,1,1,5,A,Covert,4,
"[255, 0, 0]",2,25,0.22052298,1,1,6,A,Covert,4,
"[255, 0, 0]",2,40,0.22071518,1,1,7,A,Covert,4,
"[255, 0, 0]",0,25,0.21642715,1,1,8,A,Covert,4,
"[255, 0, 0]",0,30,-0.0001963,1,1,9,A,Covert,4,
"[255, 0, 0]",2,10,0.21337505,1,1,10,A,Covert,4,
"[255, 0, 0]",2,10,0.2328252,1,1,11,A,Covert,4,
"[255, 0, 0]",0,35,0.23356771,1,1,12,A,Covert,4,
"[255, 0, 0]",0,5,0.23938798,1,1,13,A,Covert,4,
"[255, 0, 0]",2,5,0.20424709,1,1,14,A,Covert,4,
"[255, 0, 0]",2,40,0.21946358,1,1,15,A,Covert,4,
"[255, 0, 0]",0,10,0.22331411,1,1,16,A,Covert,4,
"[255, 0, 0]",0,25,0.10665811,1,1,17,A,Covert,4,
"[255, 0, 0]",0,30,0.25284021,1,1,18,A,Covert,4,
"[255, 0, 0]",0,40,0.23785868,1,1,19,A,Covert,4,
"[255, 0, 0]",2,35,0.22458368,1,1,20,A,Covert,4,
"[255, 0, 0]",0,5,0.2430436,1,1,21,A,Covert,4,
"[255, 0, 0]",0,0,0.22240563,1,1,22,A,Covert,4,
"[255, 0, 0]",2,15,0.23754591,1,1,23,A,Covert,4,
"[255, 0, 0]",0,35,0.2331335,1,1,24,A,Covert,4,
"[255, 0, 0]",2,20,0.20414551,1,1,25,A,Covert,4,
"[255, 0, 0]",0,10,0.2206329,1,1,26,A,Covert,4,
"[255, 0, 0]",2,0,0.2079008,1,1,27,A,Covert,4,
"[255, 0, 0]",0,10,0.24224351,1,1,28,A,Covert,4,
"[255, 0, 0]",0,5,0.23641303,1,1,29,A,Covert,4,
"[255, 0, 0]",0,0,0.20286973,1,1,30,A,Covert,4,
"[255, 0, 0]",0,15,0.21174442,1,1,31,A,Covert,4,
"[255, 0, 0]",2,5,0.20904633,1,1,32,A,Covert,4,
"[255, 0, 0]",2,30,0.23850566,1,1,33,A,Covert,4,
"[255, 0, 0]",0,15,0.22937268,1,1,34,A,Covert,4,
"[255, 0, 0]",2,15,0.19455133,1,1,35,A,Covert,4,
"[255, 0, 0]",2,0,0.1950194,1,1,36,A,Covert,4,
"[255, 0, 0]",2,25,0.18918222,1,1,37,A,Covert,4,
"[255, 0, 0]",0,0,-0.0670997,1,1,38,A,Covert,4,
"[255, 0, 0]",2,5,0.19834382,1,1,39,A,Covert,4,
"[255, 0, 0]",2,15,0.23296256,1,1,40,A,Covert,4,
"[255, 0, 0]",0,35,0.25141123,1,1,41,A,Covert,4,
"[255, 0, 0]",2,40,0.24431551,1,1,42,A,Covert,4,
"[255, 0, 0]",2,10,0.23629041,1,1,43,A,Covert,4,
"[255, 0, 0]",0,20,0.28375183,1,1,44,A,Covert,4,
"[255, 0, 0]",2,20,0.21425773,1,1,45,A,Covert,4,
