Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees),n = 12
"[255, 0, 0]",0,15,0.29952488,1,1,4,A,Overt,4,
"[255, 0, 0]",2,15,0.27102423,1,1,5,A,Overt,4,
"[255, 0, 0]",2,20,0.30657762,1,1,6,A,Overt,4,
"[255, 0, 0]",2,0,0.28032894,1,1,7,A,Overt,4,
"[255, 0, 0]",2,40,0.31933429,1,1,8,A,Overt,4,
"[255, 0, 0]",0,40,0.44474089,1,1,9,A,Overt,4,
"[255, 0, 0]",0,5,0.28158726,1,1,10,A,Overt,4,
"[255, 0, 0]",0,35,0.3227902,1,1,11,A,Overt,4,
"[255, 0, 0]",2,5,0.29687028,1,1,12,A,Overt,4,
"[255, 0, 0]",2,30,0.3043933,1,1,13,A,Overt,4,
"[255, 0, 0]",2,15,0.26798389,1,1,14,A,Overt,4,
"[255, 0, 0]",2,20,0.26946892,1,1,15,A,Overt,4,
"[255, 0, 0]",2,10,0.2628179,1,1,16,A,Overt,4,
"[255, 0, 0]",2,25,0.28592663,1,1,17,A,Overt,4,
"[255, 0, 0]",0,15,0.29854477,1,1,18,A,Overt,4,
"[255, 0, 0]",0,0,0.26610701,1,1,19,A,Overt,4,
"[255, 0, 0]",0,40,0.30493302,1,1,20,A,Overt,4,
"[255, 0, 0]",0,10,0.28155636,1,1,21,A,Overt,4,
"[255, 0, 0]",0,5,0.244429,1,1,22,A,Overt,4,
"[255, 0, 0]",0,35,0.31678927,1,1,23,A,Overt,4,
"[255, 0, 0]",2,35,0.3830632,1,1,24,A,Overt,4,
"[255, 0, 0]",0,15,0.28004731,1,1,25,A,Overt,4,
"[255, 0, 0]",2,35,0.27913792,1,1,26,A,Overt,4,
"[255, 0, 0]",0,25,0.27268678,1,1,27,A,Overt,4,
"[255, 0, 0]",0,35,0.32359114,1,1,28,A,Overt,4,
"[255, 0, 0]",0,30,0.32282117,1,1,29,A,Overt,4,
"[255, 0, 0]",2,20,0.26648697,1,1,30,A,Overt,4,
"[255, 0, 0]",0,35,0.30256293,1,1,31,A,Overt,4,
"[255, 0, 0]",0,5,0.28581072,1,1,32,A,Overt,4,
"[255, 0, 0]",0,0,0.27149175,1,1,33,A,Overt,4,
"[255, 0, 0]",2,40,0.28018673,1,1,34,A,Overt,4,
"[255, 0, 0]",2,5,0.27496227,1,1,35,A,Overt,4,
"[255, 0, 0]",2,30,0.29341988,1,1,36,A,Overt,4,
"[255, 0, 0]",0,20,0.31737166,1,1,37,A,Overt,4,
"[255, 0, 0]",2,25,0.2624669,1,1,38,A,Overt,4,
"[255, 0, 0]",2,10,0.28855498,1,1,39,A,Overt,4,
"[255, 0, 0]",0,0,0.23162356,1,1,40,A,Overt,4,
"[255, 0, 0]",0,0,0.25708472,1,1,41,A,Overt,4,
"[255, 0, 0]",2,0,0.2611085,1,1,42,A,Overt,4,
"[255, 0, 0]",2,40,0.29668725,1,1,43,A,Overt,4,
"[255, 0, 0]",2,5,0.24712954,1,1,44,A,Overt,4,
"[255, 0, 0]",2,25,0.29817272,1,1,45,A,Overt,4,
"[255, 0, 0]",2,10,0.25532508,1,1,46,A,Overt,4,
"[255, 0, 0]",2,35,0.32761695,1,1,47,A,Overt,4,
"[255, 0, 0]",0,25,0.30374543,1,1,48,A,Overt,4,
"[255, 0, 0]",2,40,0.30278098,1,1,49,A,Overt,4,
"[255, 0, 0]",2,0,0.27521685,1,1,50,A,Overt,4,
"[255, 0, 0]",2,20,0.2891768,1,1,51,A,Overt,4,
"[255, 0, 0]",0,20,0.3499734,1,1,52,A,Overt,4,
"[255, 0, 0]",0,20,0.27103561,1,1,53,A,Overt,4,
"[255, 0, 0]",2,30,0.27641618,1,1,54,A,Overt,4,
"[255, 0, 0]",0,40,0.313053,1,1,55,A,Overt,4,
"[255, 0, 0]",2,15,0.276116,1,1,56,A,Overt,4,
"[255, 0, 0]",0,20,0.28694687,1,1,57,A,Overt,4,
"[255, 0, 0]",0,25,0.26812609,1,1,58,A,Overt,4,
"[255, 0, 0]",0,30,0.28799232,1,1,59,A,Overt,4,
"[255, 0, 0]",0,30,0.29934776,1,1,60,A,Overt,4,
"[255, 0, 0]",0,5,0.26100871,1,1,61,A,Overt,4,
"[255, 0, 0]",0,10,0.2824892,1,1,62,A,Overt,4,
"[255, 0, 0]",2,15,0.25369871,1,1,63,A,Overt,4,
"[255, 0, 0]",0,10,0.27023579,1,1,64,A,Overt,4,
"[255, 0, 0]",0,10,0.26200688,1,1,65,A,Overt,4,
"[255, 0, 0]",0,40,0.29146182,1,1,66,A,Overt,4,
