Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees)
"[0, 0, 255]",0,25,0.44389937,1,3,298,A,Covert,4
"[0, 0, 255]",2,20,0.44072517,1,3,304,A,Covert,4
"[0, 0, 255]",0,40,0.46328026,1,3,305,A,Covert,4
"[0, 0, 255]",0,35,0.34295875,0,3,309,A,Covert,4
"[0, 0, 255]",2,25,0.40371171,1,3,311,A,Covert,4
"[0, 0, 255]",2,40,0.4638795,1,3,322,A,Covert,4
"[0, 0, 255]",2,20,0.39893578,1,3,324,A,Covert,4
"[0, 0, 255]",2,15,0.39970687,1,3,326,A,Covert,4
"[0, 0, 255]",2,35,0.36752921,1,3,330,A,Covert,4
"[0, 0, 255]",0,5,0.45051254,1,3,336,A,Covert,4
"[0, 0, 255]",2,5,0.34024388,1,3,341,A,Covert,4
"[0, 0, 255]",2,30,0.44108184,1,3,350,A,Covert,4
"[0, 0, 255]",0,15,0.3561044,1,3,352,A,Covert,4
"[0, 0, 255]",2,15,0.35863196,1,3,355,A,Covert,4
"[0, 0, 255]",2,15,0.36684163,1,3,357,A,Covert,4
"[0, 0, 255]",2,0,0.35134465,1,3,367,A,Covert,4
"[0, 0, 255]",0,15,0.40306368,1,3,369,A,Covert,4
"[0, 0, 255]",0,0,0.3551976,1,3,370,A,Covert,4
"[0, 0, 255]",0,25,0.3529293,1,3,375,A,Covert,4
"[0, 0, 255]",0,0,0.33260368,1,3,376,A,Covert,4
"[0, 0, 255]",2,5,0.39375154,1,3,379,A,Covert,4
"[0, 0, 255]",0,20,0.37542655,1,3,384,A,Covert,4
"[0, 0, 255]",2,25,0.40934411,1,3,386,A,Covert,4
"[0, 0, 255]",2,40,0.45942938,1,3,387,A,Covert,4
"[0, 0, 255]",2,20,0.41571726,1,3,390,A,Covert,4
"[0, 0, 255]",2,30,0.55390119,1,3,391,A,Covert,4
"[0, 0, 255]",0,20,0.42036715,1,3,392,A,Covert,4
"[0, 0, 255]",2,0,0.35800318,1,3,395,A,Covert,4
"[0, 0, 255]",2,15,0.38243626,1,3,404,A,Covert,4
"[0, 0, 255]",2,20,0.37361603,1,3,407,A,Covert,4
"[0, 0, 255]",2,5,0.38876031,1,3,411,A,Covert,4
"[0, 0, 255]",2,0,0.39879323,1,3,414,A,Covert,4
"[0, 0, 255]",0,15,0.38062679,1,3,417,A,Covert,4
"[0, 0, 255]",2,30,0.51107197,1,3,418,A,Covert,4
"[0, 0, 255]",0,30,0.45169111,1,3,421,A,Covert,4
"[0, 0, 255]",2,10,0.30926145,1,3,424,A,Covert,4
"[0, 0, 255]",0,30,0.50352323,1,3,426,A,Covert,4
"[0, 0, 255]",0,0,0.33450566,1,3,435,A,Covert,4
"[0, 0, 255]",0,5,0.42629717,1,3,436,A,Covert,4
"[0, 0, 255]",2,35,0.54959712,1,3,437,A,Covert,4
"[0, 0, 255]",0,25,0.327803,0,3,440,A,Covert,4
"[0, 0, 255]",2,5,0.3643651,1,3,452,A,Covert,4
"[0, 0, 255]",2,25,0.33075719,1,3,453,A,Covert,4
"[0, 0, 255]",0,40,0.46466643,1,3,455,A,Covert,4
"[0, 0, 255]",2,10,0.42410517,1,3,467,A,Covert,4
"[0, 0, 255]",2,0,0.33731287,1,3,476,A,Covert,4
"[0, 0, 255]",0,35,0.47057367,1,3,480,A,Covert,4
"[0, 0, 255]",2,15,0.44774873,1,3,481,A,Covert,4
"[0, 0, 255]",2,10,0.42020871,1,3,483,A,Covert,4
"[0, 0, 255]",0,35,0.52047194,1,3,489,A,Covert,4
"[0, 0, 255]",2,10,0.41924299,1,3,490,A,Covert,4
"[0, 0, 255]",0,15,0.40009189,1,3,492,A,Covert,4
"[0, 0, 255]",0,5,0.40670698,1,3,495,A,Covert,4
"[0, 0, 255]",0,10,0.42661742,1,3,499,A,Covert,4
"[0, 0, 255]",0,10,0.38859346,1,3,504,A,Covert,4
"[0, 0, 255]",0,20,0.46685343,1,3,518,A,Covert,4
"[0, 0, 255]",2,25,0.51429912,1,3,519,A,Covert,4
"[0, 0, 255]",0,0,0.35605411,1,3,525,A,Covert,4
"[0, 0, 255]",2,20,0.44907954,1,3,527,A,Covert,4
"[0, 0, 255]",2,25,0.44639392,1,3,534,A,Covert,4
"[0, 0, 255]",2,15,0.36774189,1,3,535,A,Covert,4
"[0, 0, 255]",0,40,0.51110013,1,3,543,A,Covert,4
"[0, 0, 255]",0,35,0.45816684,1,3,544,A,Covert,4
"[0, 0, 255]",2,5,0.3969616,1,3,545,A,Covert,4
"[0, 0, 255]",2,40,0.46510035,1,3,549,A,Covert,4
"[0, 0, 255]",0,30,0.4582109,1,3,554,A,Covert,4
