Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name
"[0, 0, 255]",2,20,0.3477435720269568,1,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.3667885989998467,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.35064722498646006,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.5876725760172121,1,Mingda,1,4,GB
"[0, 255, 0]",0,10,0.3637769199558534,1,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.41802551702130586,1,Mingda,1,4,GB
"[0, 255, 0]",0,0,0.33014423499116674,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.49025864095892757,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.4339454799774103,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.41698206402361393,1,Mingda,1,4,GB
"[0, 255, 0]",0,10,0.4851429330301471,1,Mingda,1,4,GB
"[0, 0, 255]",2,10,0.4705061040003784,1,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.38064883201150224,1,Mingda,1,4,GB
"[0, 255, 0]",0,0,0.5322308479808271,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.8380835630232468,1,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.35307980398647487,1,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.2925335449981503,1,Mingda,1,4,GB
"[0, 255, 0]",2,20,0.39522754098288715,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.37563929898897186,1,Mingda,1,4,GB
"[0, 0, 255]",0,10,0.25506956002209336,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.2677778340294026,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.31140731601044536,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.32651660399278626,1,Mingda,1,4,GB
"[0, 0, 255]",0,20,0.3240515810321085,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.30251124600181356,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.589548620977439,1,Mingda,1,4,GB
"[0, 0, 255]",0,20,0.352293646952603,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.3929194950032979,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.32600007398286834,0,Mingda,1,4,GB
"[0, 255, 0]",0,10,0.3174594499869272,1,Mingda,1,4,GB
"[0, 255, 0]",0,10,0.41770884703146294,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.4309510789462365,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.3579119020141661,1,Mingda,1,4,GB
"[0, 0, 255]",2,10,0.36443636898184195,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.33182226796634495,1,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.3872168679954484,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.3607233249931596,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.37523031199816614,1,Mingda,1,4,GB
"[0, 255, 0]",0,0,0.3885381409781985,1,Mingda,1,4,GB
"[0, 0, 255]",0,10,0.41481260798173025,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.33534816501196474,1,Mingda,1,4,GB
"[0, 0, 255]",0,10,0.2941846879548393,1,Mingda,1,4,GB
"[0, 0, 255]",2,10,0.3136418709764257,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.3300157489720732,1,Mingda,1,4,GB
"[0, 0, 255]",0,20,0.3154176230309531,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.302688924013637,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.36155590997077525,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.30728172801900655,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.36625131202163175,0,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.29966494400287047,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.44825425202725455,1,Mingda,1,4,GB
"[0, 0, 255]",2,10,0.33584138297010213,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.42117331799818203,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.3387405849643983,1,Mingda,1,4,GB
"[0, 0, 255]",0,20,0.352180264017079,1,Mingda,1,4,GB
"[0, 0, 255]",0,20,0.34288041898980737,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.44170695496723056,1,Mingda,1,4,GB
"[0, 0, 255]",0,10,0.2706540650106035,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.3932060780352913,1,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.3612250409787521,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.49714811897138134,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.32897719100583345,0,Mingda,1,4,GB
"[0, 255, 0]",2,20,0.3747698590159416,1,Mingda,1,4,GB
"[0, 0, 255]",0,10,0.30491979204816744,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.4060335810063407,1,Mingda,1,4,GB
"[0, 255, 0]",2,20,0.38481260096887127,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.37709455197909847,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.3119406590121798,1,Mingda,1,4,GB
"[0, 255, 0]",0,0,0.2984339809627272,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.2625110889784992,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.33395422395551577,1,Mingda,1,4,GB
"[0, 0, 255]",0,20,0.33075136598199606,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.36655329895438626,1,Mingda,1,4,GB
"[0, 255, 0]",2,20,0.3424721239716746,1,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.3821843289770186,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.34800314699532464,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.32666979101486504,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.3237641609739512,1,Mingda,1,4,GB
"[0, 0, 255]",0,20,0.3164426500443369,1,Mingda,1,4,GB
"[0, 0, 255]",0,10,0.30070397700183094,1,Mingda,1,4,GB
"[0, 255, 0]",0,10,0.43577975599328056,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.3989782730350271,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.3274007890140638,1,Mingda,1,4,GB
"[0, 255, 0]",2,20,0.309029413969256,1,Mingda,1,4,GB
"[0, 255, 0]",0,10,0.34538845700444654,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.31183713499922305,1,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.2902369549847208,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.3900217470363714,1,Mingda,1,4,GB
"[0, 0, 255]",0,20,0.3836545929661952,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.39588448201538995,1,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.41302141797496006,1,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.424120853014756,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.4376534260227345,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.39997502096230164,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.3403899680124596,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.35165864398004487,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.4775635779951699,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.29041386203607544,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.4619510630145669,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.306955243984703,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.31013839901424944,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.331218664010521,1,Mingda,1,4,GB
"[0, 255, 0]",2,20,0.2524944269680418,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.30422331899171695,1,Mingda,1,4,GB
"[0, 255, 0]",0,10,0.2623370459768921,1,Mingda,1,4,GB
"[0, 0, 255]",0,10,0.3274015819770284,1,Mingda,1,4,GB
"[0, 255, 0]",2,20,0.3414914910099469,1,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.3265893039642833,1,Mingda,1,4,GB
"[0, 0, 255]",2,10,0.300748310983181,1,Mingda,1,4,GB
"[0, 0, 255]",2,10,0.3494279269943945,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.3657414499903098,1,Mingda,1,4,GB
"[0, 0, 255]",0,10,0.3653037960175425,1,Mingda,1,4,GB
"[0, 0, 255]",0,10,0.30480212601833045,1,Mingda,1,4,GB
"[0, 255, 0]",2,20,0.3291159479995258,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.4587133099557832,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.36175336700398475,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.36070027999812737,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.4267329670256004,1,Mingda,1,4,GB
"[0, 255, 0]",2,20,0.34041112201521173,1,Mingda,1,4,GB
