Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name
"[255, 0, 0]",2,10,0.3613772840471938,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.310086093028076,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.30616194097092375,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.36878267803695053,1,Mingda,1,4,GR
"[0, 255, 0]",2,20,0.3796594479936175,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.4386170780053362,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.4828207269893028,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.45042447897139937,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.359824835031759,1,Mingda,1,4,GR
"[255, 0, 0]",0,10,0.497863583965227,1,Mingda,1,4,GR
"[0, 255, 0]",2,10,0.3498035640222952,1,Mingda,1,4,GR
"[0, 255, 0]",0,0,0.3578151660040021,0,Mingda,1,4,GR
"[0, 255, 0]",2,10,0.31674076098715886,1,Mingda,1,4,GR
"[255, 0, 0]",0,10,0.6380089090089314,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.38980746996821836,1,Mingda,1,4,GR
"[0, 255, 0]",0,0,0.4936881670146249,1,Mingda,1,4,GR
"[0, 255, 0]",2,20,0.4517113849869929,1,Mingda,1,4,GR
"[0, 255, 0]",0,20,0.3908825470134616,1,Mingda,1,4,GR
"[0, 255, 0]",2,0,0.30498866696143523,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.46266250603366643,1,Mingda,1,4,GR
"[255, 0, 0]",0,10,0.3536660389509052,1,Mingda,1,4,GR
"[255, 0, 0]",0,10,0.29516441200394183,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.336560602998361,1,Mingda,1,4,GR
"[255, 0, 0]",0,10,0.31969547097105533,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.35083453997503966,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.34184686600929126,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.2553989609587006,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.3068740959861316,0,Mingda,1,4,GR
"[0, 255, 0]",2,0,0.3094842699938454,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.3385067260242067,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.29708252096315846,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.3927374359918758,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.3345634480356239,1,Mingda,1,4,GR
"[0, 255, 0]",2,10,0.38422669598367065,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.33960701402975246,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.2945863690110855,1,Mingda,1,4,GR
"[255, 0, 0]",0,10,0.31798049400094897,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.3382091039675288,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.2895516129792668,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.32177064300049096,1,Mingda,1,4,GR
"[255, 0, 0]",0,10,0.2937981549766846,1,Mingda,1,4,GR
"[0, 255, 0]",2,0,0.5388133050291799,1,Mingda,1,4,GR
"[0, 255, 0]",0,20,0.3650668209884316,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.4242012650356628,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.35829191404627636,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.3346776399994269,1,Mingda,1,4,GR
"[0, 255, 0]",0,0,0.4719446179806255,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.36926658102311194,1,Mingda,1,4,GR
"[0, 255, 0]",0,0,0.37807101901853457,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.3468689169967547,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.38178234099177644,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.3349096239544451,1,Mingda,1,4,GR
"[0, 255, 0]",2,0,0.34027267596684396,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.46015774697298184,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.29845806502271444,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.325022800010629,1,Mingda,1,4,GR
"[0, 255, 0]",2,20,0.3624750950257294,1,Mingda,1,4,GR
"[0, 255, 0]",0,0,0.2948811099631712,1,Mingda,1,4,GR
"[0, 255, 0]",0,20,0.3026487729512155,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.3360822689719498,1,Mingda,1,4,GR
"[255, 0, 0]",0,10,0.288433855981566,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.3209528949810192,1,Mingda,1,4,GR
"[0, 255, 0]",2,20,0.3829925800091587,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.4308461309992708,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.29923227097606286,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.33609854202950373,1,Mingda,1,4,GR
"[0, 255, 0]",2,10,0.3298387039685622,1,Mingda,1,4,GR
"[0, 255, 0]",0,0,0.3515795189887285,1,Mingda,1,4,GR
"[0, 255, 0]",2,0,0.3544063009903766,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.34246895503019914,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.39445885899476707,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.3008650609990582,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.31086110800970346,1,Mingda,1,4,GR
"[255, 0, 0]",0,10,0.2900631839875132,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.2956514219986275,1,Mingda,1,4,GR
"[0, 255, 0]",2,20,0.33630917698610574,1,Mingda,1,4,GR
"[0, 255, 0]",2,20,0.276863801991567,1,Mingda,1,4,GR
"[0, 255, 0]",2,20,0.2502768670092337,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.37865204201079905,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.3986492329859175,1,Mingda,1,4,GR
"[0, 255, 0]",2,10,0.36111964500742033,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.3235903970198706,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.3812708359910175,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.37294291000580415,1,Mingda,1,4,GR
"[0, 255, 0]",0,20,0.3882764739682898,1,Mingda,1,4,GR
"[0, 255, 0]",2,10,0.346048527979292,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.2941673580207862,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.25409525603754446,0,Mingda,1,4,GR
"[0, 255, 0]",2,0,0.36647662497125566,1,Mingda,1,4,GR
"[255, 0, 0]",0,10,0.3389765670290217,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.35716182400938123,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.4975214219884947,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.3569022900192067,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.2835766639909707,1,Mingda,1,4,GR
"[0, 255, 0]",2,0,0.39957471197703853,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.42658061598194763,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.3559824689873494,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.3375304410001263,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.3334489580010995,1,Mingda,1,4,GR
"[0, 255, 0]",0,20,0.36887807300081477,1,Mingda,1,4,GR
"[0, 255, 0]",0,20,0.3742395199951716,1,Mingda,1,4,GR
"[0, 255, 0]",0,0,0.4983306140056811,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.359575187030714,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.5145581919932738,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.3564510800060816,1,Mingda,1,4,GR
"[0, 255, 0]",2,10,0.3047486540162936,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.33484230301110074,1,Mingda,1,4,GR
"[0, 255, 0]",2,0,0.48466013598954305,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.31993225298356265,1,Mingda,1,4,GR
"[0, 255, 0]",2,0,0.3112429640023038,1,Mingda,1,4,GR
