Previous Color,Color,Direction,Reaction Time 1 (s),Reaction Time 2 (s),Mistake?,Time Between Stimuli (s)
red,red,0,0.365438269,0.33081583,No,1.692096071
green,red,0,0.350961864,0.35962894,No,1.855924588
green,green,0,0.399444699,0.42860724,No,2.081275674
red,red,0,0.335661121,0.279031638,No,1.943350561
red,green,0,0.296373529,0.379891126,No,1.975581382
red,red,0,0.371378954,0.32132692,No,1.684566934
green,red,0,0.504346853,0.340326884,No,1.860084442
red,red,0,0.523863155,0.373184358,No,1.379451921
green,red,0,0.560403801,0.321647942,No,1.776090728
green,green,0,0.446477896,0.375867145,No,2.159855675
red,green,0,0.496374845,0.661283295,No,2.031362641
red,green,0,0.435661519,0.437761469,No,1.951059716
red,green,0,0.383344323,0.505170794,No,1.920404942
green,green,0,0.26116024,0.439055482,No,2.088373767
red,red,0,0.522466465,0.382222025,No,1.89703088
red,green,0,0.289159779,0.417257382,No,2.107692827
red,red,0,0.325477479,0.429384237,Yes,2.14846575
red,red,0,0.342818645,0.401375131,No,1.886185022
red,green,0,0.320968338,0.46612679,No,1.818196597
green,red,0,0.466393084,1.997451194,Yes,1.413866963
red,green,0,0.456031882,0.369466271,No,1.808684558
red,red,0,0.476025697,0.439426937,No,2.007619185
red,green,0,0.2859874,0.403586213,No,1.914006472
green,green,0,0.740208498,1.187697965,Yes,1.341589029
red,green,0,0.449173519,0.377766429,No,2.1292501
green,red,0,0.297623242,0.361204485,No,1.803194832
green,green,0,0.468234026,0.331115892,No,2.035226325
green,red,0,0.360674767,0.406008398,No,1.862028017
green,green,0,0.281077852,0.33259555,No,1.793767979
green,green,0,0.448802794,0.375799231,No,2.245601741
green,red,0,0.355799208,0.457680157,No,2.007439165
red,green,0,0.33725537,0.342451309,No,2.060614416
green,red,0,0.358343564,0.33947136,No,2.040515479
green,green,0,0.407269402,0.464447954,No,1.617072862
red,green,0,0.410984679,0.362858655,No,1.77750111
red,red,0,0.425306768,0.290575986,No,1.567674256
red,green,0,0.317655494,0.337821462,No,1.889763028
red,green,0,0.422069924,0.561499644,No,1.752067866
green,red,0,0.300819712,0.294747831,No,2.002257072
red,green,0,0.314554706,0.470765528,No,2.049118736
green,green,0,0.390531942,0.304569987,No,2.029456707
red,green,0,0.485467547,0.341321693,No,1.688964587
red,red,0,0.440871576,0.392428521,No,1.833769802
red,green,0,0.50022964,0.396663853,No,1.881483163
green,green,0,0.307053481,0.564829126,No,1.802397538
green,red,0,0.519264051,0.439747967,No,2.113933875
red,red,0,0.314086967,0.29589124,No,1.58328606
red,red,0,0.364620282,0.34742851,No,2.317766612
red,green,0,0.304982737,0.289181731,Yes,1.69377533
red,red,0,0.41291125,0.423672149,No,2.262313257
green,green,0,0.309302355,0.426158936,No,2.415227598
green,green,0,0.357589269,0.321530161,No,2.150163682
green,red,0,0.417735526,0.35749152,No,2.227890493
red,red,0,0.434654453,0.353840123,No,2.017833847
green,red,0,0.434060412,0.434594211,Yes,2.100146527
green,green,0,0.398252733,0.44090437,No,1.750452634
green,red,0,0.3223971,0.379792239,No,1.886067423
red,red,0,0.511242897,0.335846549,No,1.735417173
green,green,0,0.509197621,0.333436225,No,1.759345878
green,red,0,0.325914713,0.345527084,No,1.969146232
green,green,0,0.357788042,0.320539857,No,1.854579044
red,red,0,0.354192389,0.49905744,No,2.118288536
red,red,0,0.300074394,0.283948528,No,1.626508057
red,green,0,0.310647357,0.500792926,No,1.958111379
red,red,0,0.380178558,0.467369992,No,1.905124623
red,red,0,0.806622007,1.194739087,No,1.176172012
green,red,0,0.529732191,0.281176968,Yes,1.863979089
green,green,0,0.446956544,0.329191504,Yes,1.658895269
red,green,0,0.402297797,0.418071146,No,1.719470733
green,red,0,0.445020453,0.364888114,No,1.896122236
red,green,0,0.430509756,0.591869247,No,1.841908802
green,red,0,0.769702775,0.627187873,No,1.770856658
green,green,0,0.443790108,0.356019133,No,1.948577114
