Previous Color,Color,Direction,Reaction Time 1 (s),Reaction Time 2 (s),Mistake?,Time Between Stimuli (s)
red,green,0,0.558243302,0.344400763,No,1.676357656
red,red,0,0.382335758,0.241915604,No,1.761791948
green,red,0,0.325177984,0.324342457,No,1.584661728
green,green,0,0.332628256,0.410996918,No,1.953881111
green,red,0,0.371216129,0.34384886,No,1.656166123
green,red,0,1.492840879,0.62633015,No,0.623919777
green,red,0,0.370708973,0.457532179,No,1.967844915
green,green,0,0.297012397,0.326449182,No,2.011687246
green,red,0,0.286256866,0.356824379,No,1.826987275
red,red,0,0.382238802,0.257077718,No,1.966127828
red,green,0,0.260301552,0.298089089,No,1.893185494
green,green,0,0.25693139,0.276031513,No,2.055020354
red,red,0,0.314886862,0.367630501,Yes,2.256965322
red,red,0,0.339758292,0.317381716,No,1.838402047
green,green,0,0.449105677,0.351640644,No,1.703053761
green,red,0,0.263235181,0.343532792,No,2.065371093
green,green,0,0.599468748,0.655387439,No,1.641645531
red,green,0,0.45782373,0.500734025,No,1.417735136
red,red,0,0.325345686,0.453013095,No,1.958987888
red,green,0,0.316550651,0.419474009,No,1.725723804
red,green,0,0.394027267,0.287844426,No,2.160863207
red,red,0,0.308439131,0.446634541,No,1.963138309
green,red,0,0.295991582,0.339095567,No,1.860675326
green,green,0,0.472569308,0.463207219,No,1.53861502
green,red,0,0.314298084,0.355304776,No,2.27480308
red,green,0,0.327356716,0.318204692,No,1.798211148
red,red,0,0.35869867,0.305800412,No,1.885809237
red,red,0,0.307051438,0.342081228,No,1.723963546
red,red,0,0.306977832,0.258463739,No,2.021820088
red,green,0,0.338201105,0.347783108,No,2.132652513
red,red,0,0.389957592,0.310492962,No,1.854301185
green,red,0,0.335799839,0.326639839,No,2.278989492
green,green,0,0.324057246,0.289359549,No,1.856045642
green,red,0,0.420842045,0.442186644,No,1.904971151
green,red,0,0.472224576,0.468483792,No,1.632724419
green,green,0,0.466135897,0.298386204,No,2.019244718
red,red,0,0.314448028,0.388961376,No,2.071277628
green,green,0,0.342733955,0.26050468,No,2.151533352
red,red,0,0.447204106,0.379102279,No,1.473815345
green,green,0,0.372671905,0.349377417,No,2.068968086
green,green,0,0.320270136,0.341891109,No,1.787620084
green,green,0,0.320524103,0.32633583,No,1.976014221
green,green,0,0.367498559,0.327958433,No,1.968997032
red,red,0,0.350485092,0.384309023,No,2.24293352
green,green,0,0.387866985,0.45880533,Yes,1.896834531
green,red,0,0.298420501,0.374193079,No,1.542567315
green,green,0,0.41331984,0.296980937,No,1.816452457
green,red,0,0.332576386,0.374365567,No,1.988976792
red,green,0,0.357347367,0.320029416,No,2.044237272
green,red,0,0.335117073,0.445750533,No,1.783427581
red,green,0,0.37124342,0.459733433,No,1.54344878
red,green,0,0.326191738,0.457366947,No,1.816969252
red,red,0,0.387787473,0.417670637,Yes,1.963188947
green,red,0,0.347816287,0.380104528,No,1.526953008
green,red,0,0.679790505,0.486031453,No,1.651858685
green,red,0,0.512360398,0.364806273,No,1.499987684
green,red,0,0.460148689,0.371349191,No,2.149906146
green,green,0,0.331643599,0.31159322,No,1.711785696
green,green,0,0.360076723,0.35108383,No,2.186094671
red,red,0,0.421183433,0.426190706,No,1.681122808
red,green,0,0.408838619,0.388717701,No,1.955172909
red,green,0,0.453135054,0.332703003,No,1.776998821
red,red,0,0.365438269,0.33081583,No,1.692096071
green,red,0,0.350961864,0.35962894,No,1.855924588
green,green,0,0.399444699,0.42860724,No,2.081275674
red,red,0,0.335661121,0.279031638,No,1.943350561
red,green,0,0.296373529,0.379891126,No,1.975581382
red,red,0,0.371378954,0.32132692,No,1.684566934
green,red,0,0.504346853,0.340326884,No,1.860084442
red,red,0,0.523863155,0.373184358,No,1.379451921
green,red,0,0.560403801,0.321647942,No,1.776090728
green,green,0,0.446477896,0.375867145,No,2.159855675
red,green,0,0.496374845,0.661283295,No,2.031362641
red,green,0,0.435661519,0.437761469,No,1.951059716
red,green,0,0.383344323,0.505170794,No,1.920404942
green,green,0,0.26116024,0.439055482,No,2.088373767
red,red,0,0.522466465,0.382222025,No,1.89703088
red,green,0,0.289159779,0.417257382,No,2.107692827
red,red,0,0.325477479,0.429384237,Yes,2.14846575
red,red,0,0.342818645,0.401375131,No,1.886185022
red,green,0,0.320968338,0.46612679,No,1.818196597
green,red,0,0.466393084,1.997451194,Yes,1.413866963
red,green,0,0.456031882,0.369466271,No,1.808684558
red,red,0,0.476025697,0.439426937,No,2.007619185
red,green,0,0.2859874,0.403586213,No,1.914006472
green,green,0,0.740208498,1.187697965,Yes,1.341589029
red,green,0,0.449173519,0.377766429,No,2.1292501
green,red,0,0.297623242,0.361204485,No,1.803194832
green,green,0,0.468234026,0.331115892,No,2.035226325
green,red,0,0.360674767,0.406008398,No,1.862028017
green,green,0,0.281077852,0.33259555,No,1.793767979
green,green,0,0.448802794,0.375799231,No,2.245601741
green,red,0,0.355799208,0.457680157,No,2.007439165
red,green,0,0.33725537,0.342451309,No,2.060614416
green,red,0,0.358343564,0.33947136,No,2.040515479
green,green,0,0.407269402,0.464447954,No,1.617072862
red,green,0,0.410984679,0.362858655,No,1.77750111
red,red,0,0.425306768,0.290575986,No,1.567674256
red,green,0,0.317655494,0.337821462,No,1.889763028
red,green,0,0.422069924,0.561499644,No,1.752067866
green,red,0,0.300819712,0.294747831,No,2.002257072
red,green,0,0.314554706,0.470765528,No,2.049118736
green,green,0,0.390531942,0.304569987,No,2.029456707
red,green,0,0.485467547,0.341321693,No,1.688964587
red,red,0,0.440871576,0.392428521,No,1.833769802
red,green,0,0.50022964,0.396663853,No,1.881483163
green,green,0,0.307053481,0.564829126,No,1.802397538
green,red,0,0.519264051,0.439747967,No,2.113933875
red,red,0,0.314086967,0.29589124,No,1.58328606
red,red,0,0.364620282,0.34742851,No,2.317766612
red,green,0,0.304982737,0.289181731,Yes,1.69377533
red,red,0,0.41291125,0.423672149,No,2.262313257
green,green,0,0.309302355,0.426158936,No,2.415227598
green,green,0,0.357589269,0.321530161,No,2.150163682
green,red,0,0.417735526,0.35749152,No,2.227890493
red,red,0,0.434654453,0.353840123,No,2.017833847
green,red,0,0.434060412,0.434594211,Yes,2.100146527
green,green,0,0.398252733,0.44090437,No,1.750452634
green,red,0,0.3223971,0.379792239,No,1.886067423
red,red,0,0.511242897,0.335846549,No,1.735417173
green,green,0,0.509197621,0.333436225,No,1.759345878
green,red,0,0.325914713,0.345527084,No,1.969146232
green,green,0,0.357788042,0.320539857,No,1.854579044
red,red,0,0.354192389,0.49905744,No,2.118288536
red,red,0,0.300074394,0.283948528,No,1.626508057
red,green,0,0.310647357,0.500792926,No,1.958111379
red,red,0,0.380178558,0.467369992,No,1.905124623
red,red,0,0.806622007,1.194739087,No,1.176172012
green,red,0,0.529732191,0.281176968,Yes,1.863979089
green,green,0,0.446956544,0.329191504,Yes,1.658895269
red,green,0,0.402297797,0.418071146,No,1.719470733
green,red,0,0.445020453,0.364888114,No,1.896122236
red,green,0,0.430509756,0.591869247,No,1.841908802
green,red,0,0.769702775,0.627187873,No,1.770856658
green,green,0,0.443790108,0.356019133,No,1.948577114
