Color,Direction,Eccentricity (degrees),Reaction Time (s)
"[255, 0, 0]",0,30,1.2411311350297183,0
"[0, 255, 0]",0,35,0.7063211769564077,0
"[0, 255, 0]",2,5,0.6426872221054509,0
"[0, 0, 255]",2,15,0.5303779389942065,0
"[0, 0, 255]",2,15,0.6471508860122412,0
"[0, 255, 0]",0,40,0.6600001839688048,0
"[0, 255, 0]",0,25,0.8483751120511442,0
"[0, 0, 255]",0,40,0.7189141169656068,0
"[0, 0, 255]",2,5,0.794881178997457,0
"[0, 0, 255]",0,10,0.6358893950236961,0
"[255, 255, 0]",2,40,0.9218698099721223,0
"[255, 0, 0]",0,40,0.8133594469400123,0
"[0, 0, 255]",0,30,0.7647999129258096,0
"[0, 255, 0]",2,40,0.632436309941113,0
"[0, 255, 0]",0,10,0.6448217179859057,0
"[0, 0, 255]",0,15,0.755238797981292,0
"[255, 0, 0]",2,30,0.5516748760128394,0
"[255, 255, 0]",2,20,0.5675999100785702,0
"[0, 0, 255]",0,40,0.6372316499473527,0
"[255, 0, 0]",0,30,0.5583061659708619,0
"[255, 255, 0]",0,35,0.6738511910662055,0
"[255, 255, 0]",0,20,0.5303289829753339,0
"[255, 255, 0]",2,25,0.5739418630255386,0
"[0, 255, 0]",2,25,0.7666226819856092,0
"[255, 255, 0]",2,15,0.6191942830337211,0
"[0, 255, 0]",0,5,0.6175853430759162,0
"[0, 0, 255]",2,5,0.5847863790113479,0
"[0, 0, 255]",2,35,0.6214210509788245,0
"[255, 0, 0]",2,10,0.5333186429925263,0
"[0, 0, 255]",0,30,0.5672994400374591,0
"[255, 255, 0]",0,20,0.5109990669880062,0
"[0, 0, 255]",0,5,0.545478195999749,0
"[255, 0, 0]",2,35,0.5983657189644873,0
"[255, 255, 0]",0,20,0.6540378869976848,0
"[0, 0, 255]",0,15,0.5472901379689574,0
"[255, 0, 0]",2,40,1.027050897013396,0
"[0, 255, 0]",0,40,1.0889158069621772,0
"[0, 255, 0]",2,35,0.8646839059656486,0
"[0, 0, 255]",2,40,0.8379952020477504,0
"[0, 0, 255]",0,35,0.5690270439954475,0
"[255, 0, 0]",2,35,1.177391681005247,0
"[0, 0, 255]",2,20,0.7321086219744757,0
"[0, 0, 255]",0,25,0.5047544109402224,0
"[255, 0, 0]",0,25,0.5193334330106154,0
"[255, 0, 0]",2,35,0.5479933510068804,0
"[0, 255, 0]",2,15,0.7101621199399233,0
"[0, 0, 255]",2,10,0.7284619630081579,0
"[255, 0, 0]",2,30,0.7604876590194181,0
"[0, 0, 255]",0,15,0.6444743539905176,0
"[255, 255, 0]",0,35,0.6713361369911581,0
"[255, 0, 0]",2,20,0.6133391100447625,0
"[0, 0, 255]",2,35,0.7483116539660841,0
"[0, 255, 0]",2,5,0.6492562550120056,0
