Color,Direction,Eccentricity (degrees),Reaction Time (s)
"[255, 0, 0]",0,20,0.5673391880700365,0
"[0, 0, 255]",2,20,0.5841170459752902,0
"[0, 0, 255]",0,10,0.4939682490658015,0
"[255, 255, 0]",0,40,0.6129178169649094,0
"[0, 255, 0]",0,25,0.6774316630326211,0
"[255, 255, 0]",0,25,0.7673375920858234,0
"[0, 0, 255]",0,20,0.46950555103830993,0
"[0, 0, 255]",0,10,0.4516662510577589,0
"[255, 0, 0]",2,20,0.5522291009547189,0
"[0, 255, 0]",0,35,0.6441253169905394,0
"[255, 255, 0]",0,30,0.5952249739784747,0
"[255, 0, 0]",2,35,0.5845272390870377,0
"[255, 0, 0]",2,15,0.4910389119759202,0
"[0, 255, 0]",0,15,0.5335761880269274,0
"[255, 255, 0]",2,40,0.5891633350402117,0
"[0, 255, 0]",2,15,0.46076939906924963,0
"[0, 0, 255]",0,10,0.5479163749841973,0
"[255, 255, 0]",2,5,0.49778944498393685,0
"[0, 0, 255]",0,15,0.5426200970541686,0
"[255, 0, 0]",2,15,0.48589144297875464,0
"[255, 255, 0]",0,35,0.47899325797334313,0
"[0, 255, 0]",0,15,0.5023692030226812,0
"[0, 0, 255]",0,30,0.5806184810353443,0
"[0, 0, 255]",2,5,0.46313153207302094,0
"[0, 0, 255]",0,40,0.559443167061545,0
"[255, 0, 0]",0,40,0.5550666180206463,0
"[255, 255, 0]",0,40,0.6583995509427041,1
"[0, 255, 0]",2,10,0.6966393359471112,0
"[0, 0, 255]",2,30,0.6778564499691129,0
"[0, 0, 255]",0,20,0.5597248239209875,0
"[0, 0, 255]",2,20,0.4964108669664711,0
"[255, 255, 0]",0,30,0.6696196550037712,0
"[255, 0, 0]",2,25,0.5312140029855072,0
"[255, 0, 0]",0,40,0.5905897469492629,0
"[0, 0, 255]",0,5,0.5150598330656067,0
"[0, 255, 0]",0,35,0.8430628140922636,0
"[255, 255, 0]",2,25,0.5620983639964834,0
"[255, 0, 0]",0,35,0.5385336359031498,0
"[0, 0, 255]",2,30,0.5121140190167353,0
"[255, 0, 0]",0,35,0.5163655669894069,0
"[0, 255, 0]",0,30,0.6131249129539356,0
"[0, 255, 0]",0,5,0.5541733360150829,0
"[0, 255, 0]",0,20,0.5937121079768986,0
"[255, 0, 0]",0,5,0.5199469210347161,0
"[255, 255, 0]",0,40,0.9336979399668053,0
"[0, 0, 255]",2,35,0.5555613680044189,0
"[0, 0, 255]",0,25,0.44219010206870735,0
"[255, 0, 0]",2,40,0.4427369119366631,0
"[0, 255, 0]",2,30,0.5447123639751226,0
"[255, 0, 0]",2,35,0.43030014110263437,0
"[0, 255, 0]",2,25,0.5633163769962266,0
"[255, 0, 0]",2,40,0.46337793103884906,0
"[0, 255, 0]",0,40,0.8812704019946977,0
