Color,Direction,Eccentricity (degrees),Reaction Time (s)
"[255, 255, 0]",0,20,0.5893224399769679,0
"[255, 0, 0]",2,30,0.6737712980248034,0
"[0, 255, 0]",0,30,0.48157627100590616,0
"[255, 255, 0]",0,25,0.49057374603580683,0
"[255, 0, 0]",2,10,0.5700905899284407,0
"[0, 0, 255]",2,5,0.4774888571118936,1
"[0, 0, 255]",0,30,0.6017381860874593,0
"[0, 0, 255]",0,25,0.5235000570537522,0
"[0, 0, 255]",2,10,0.48432538099586964,0
"[255, 255, 0]",2,20,0.7052493799710646,0
"[0, 255, 0]",2,10,0.47010242799296975,0
"[255, 0, 0]",2,40,0.5879159470787272,0
"[0, 255, 0]",0,10,0.48001019400544465,0
"[255, 255, 0]",2,30,0.525299645960331,0
"[0, 255, 0]",0,35,0.48787679604720324,0
"[255, 0, 0]",0,10,0.5017396820476279,0
"[255, 255, 0]",2,40,0.4811586900614202,0
"[255, 0, 0]",0,15,0.4739355460042134,0
"[0, 255, 0]",0,15,0.48965628596488386,0
"[255, 255, 0]",2,30,0.6052994510391727,0
"[0, 255, 0]",0,25,0.5316238469677046,0
"[0, 255, 0]",0,35,0.4753981688991189,0
"[255, 255, 0]",0,15,0.3872517599957064,0
"[0, 255, 0]",2,20,0.46394423802848905,0
"[0, 255, 0]",0,20,0.3901970339938998,0
"[255, 0, 0]",2,25,0.5114940480561927,0
"[255, 255, 0]",0,5,0.40480474999640137,0
"[255, 255, 0]",0,40,0.4633317240513861,0
"[0, 255, 0]",2,5,0.6471653659828007,0
"[0, 255, 0]",0,40,0.4499862560769543,0
"[0, 0, 255]",2,30,0.5745840430026874,0
"[255, 255, 0]",2,35,0.5956484719645232,0
"[255, 0, 0]",0,25,0.48426099598873407,0
"[0, 0, 255]",2,30,0.6090061229187995,0
"[0, 255, 0]",2,20,0.5310961379436776,0
"[0, 0, 255]",0,20,0.5925397739047185,0
"[255, 0, 0]",2,30,0.524471604032442,0
"[255, 0, 0]",2,30,0.47868823492899537,0
"[0, 255, 0]",0,5,0.49025330203585327,0
"[0, 0, 255]",0,40,0.6788444709964097,0
"[255, 255, 0]",0,15,0.7287867140257731,0
"[255, 255, 0]",2,10,0.616589154000394,0
"[255, 255, 0]",0,5,0.6424913499504328,0
"[0, 255, 0]",2,35,0.5614963639527559,0
"[255, 0, 0]",2,35,0.5159697019262239,0
"[255, 255, 0]",2,35,0.4721110719256103,0
"[0, 0, 255]",2,35,0.5770483890082687,0
"[0, 255, 0]",2,15,0.5259688169462606,0
"[0, 255, 0]",2,15,0.4846603950718418,0
"[255, 255, 0]",2,35,0.5408739190315828,0
"[0, 255, 0]",2,5,0.42763237189501524,0
"[0, 255, 0]",0,35,0.5476246729958802,0
"[255, 255, 0]",0,40,0.5597513678949326,0
"[0, 0, 255]",0,25,0.5921392519958317,0
"[0, 0, 255]",0,10,0.4556690059835091,1
"[255, 255, 0]",0,35,0.5868658670224249,0
"[0, 255, 0]",0,5,0.5382293940056115,0
"[255, 0, 0]",2,25,0.5658980109728873,0
