Color,Direction,Eccentricity (degrees),Reaction Time (s)
"[0, 0, 255]",0,15,0.6023525689961389,0
"[0, 0, 255]",0,5,0.5829978999681771,0
"[0, 0, 255]",0,25,0.4806493120267987,0
"[255, 255, 0]",0,35,0.6937571050366387,0
"[0, 0, 255]",0,30,0.5754871000535786,0
"[0, 0, 255]",2,30,0.46220200310926884,0
"[0, 0, 255]",0,15,0.525195018039085,0
"[0, 0, 255]",0,35,0.5246629400644451,0
"[255, 255, 0]",2,15,0.6224239469738677,0
"[0, 0, 255]",2,25,0.5785637890221551,0
"[255, 255, 0]",2,25,0.4705539069836959,0
"[255, 255, 0]",2,30,0.434859631001018,0
"[255, 255, 0]",2,30,0.44812378007918596,0
"[0, 0, 255]",0,25,0.47960772505030036,0
"[255, 255, 0]",0,30,0.5415203990414739,0
"[255, 255, 0]",0,10,0.4751915760571137,0
"[255, 255, 0]",0,40,0.4815146690234542,0
"[255, 255, 0]",0,25,0.44647898408584297,0
"[255, 255, 0]",2,30,0.45910184795502573,0
"[255, 255, 0]",0,30,0.5002627860521898,0
"[0, 0, 255]",2,20,0.5572432250482962,0
"[255, 255, 0]",0,5,0.5698404520517215,0
"[255, 255, 0]",0,20,0.504470114945434,0
"[255, 255, 0]",2,30,0.4949013189179823,0
"[0, 0, 255]",0,35,0.5403652250533924,0
"[0, 0, 255]",0,40,0.510832290048711,0
"[255, 255, 0]",0,20,0.5037231330061331,0
"[0, 0, 255]",2,25,0.45195805397816,0
"[255, 255, 0]",0,15,0.49467520706821233,0
"[0, 0, 255]",2,15,0.41417315299622715,0
"[255, 255, 0]",2,5,0.49981776205822825,0
"[0, 0, 255]",2,35,0.4981436269590631,0
"[0, 0, 255]",2,40,0.4506684229709208,0
"[0, 0, 255]",2,5,0.5184637859929353,0
"[0, 0, 255]",0,40,0.5491792180109769,0
"[0, 0, 255]",2,25,0.42631200107280165,0
"[0, 0, 255]",0,30,0.5214770310558379,0
"[0, 0, 255]",0,35,0.47597513697110116,0
"[0, 0, 255]",2,5,0.4331101290881634,0
"[0, 0, 255]",0,30,0.4262176180491224,0
"[0, 0, 255]",0,25,0.44224256405141205,0
"[255, 255, 0]",2,25,0.6094803040614352,0
"[0, 0, 255]",0,10,0.4751900869887322,0
"[255, 255, 0]",0,30,0.6171051630517468,0
"[0, 0, 255]",0,40,0.5146446300204843,0
"[0, 0, 255]",0,5,0.45515939500182867,0
"[0, 0, 255]",0,15,0.4613819750957191,0
"[0, 0, 255]",0,40,0.5133525179699063,0
"[255, 255, 0]",0,35,0.5164381840731949,0
"[0, 0, 255]",2,35,0.5105173599440604,0
"[255, 255, 0]",2,40,0.5265105500584468,0
"[0, 0, 255]",2,20,0.5465321459341794,0
"[255, 255, 0]",0,5,0.7050393329700455,0
"[255, 255, 0]",0,15,0.5324200680479407,0
"[0, 0, 255]",2,35,0.595956820063293,0
"[255, 255, 0]",0,35,0.6652930109994486,0
"[0, 0, 255]",0,10,0.510945642949082,0
