Color,Direction,Eccentricity (degrees),Reaction Time (s)
"[0, 0, 255]",2,30,0.4312946730060503,0
"[255, 255, 0]",2,5,0.4959503239952028,0
"[255, 0, 0]",2,35,0.5004580239765346,0
"[0, 0, 255]",0,35,0.6245446839602664,0
"[0, 0, 255]",0,5,0.42310860892757773,0
"[255, 255, 0]",2,10,0.5102555659832433,0
"[0, 0, 255]",0,40,0.6486615230096504,0
"[255, 0, 0]",0,15,0.6640361999161541,0
"[255, 255, 0]",2,10,0.5062131240265444,0
"[255, 255, 0]",2,40,0.6222656980389729,0
"[0, 0, 255]",2,25,0.5895866979844868,0
"[255, 255, 0]",0,35,0.6254718190757558,0
"[255, 0, 0]",2,15,0.49278541503008455,0
"[255, 255, 0]",0,20,0.4338760789250955,0
"[0, 0, 255]",2,35,0.5086503680795431,0
"[255, 0, 0]",0,10,0.49291171599179506,0
"[0, 0, 255]",0,15,0.5981881020125002,0
"[255, 0, 0]",2,25,0.6021009989781305,0
"[0, 0, 255]",0,15,0.7105080500477925,0
"[0, 0, 255]",0,40,0.6558241649763659,0
"[0, 0, 255]",2,40,0.5877891370328143,0
"[255, 0, 0]",0,5,0.580006853910163,0
"[255, 255, 0]",0,40,0.7005984639981762,1
"[255, 0, 0]",2,30,0.7433328490005806,0
"[255, 0, 0]",0,10,0.6494476250372827,0
"[255, 0, 0]",2,30,0.47912420495413244,0
"[255, 0, 0]",2,40,0.46407655300572515,0
"[255, 255, 0]",0,35,0.6902793309418485,0
"[255, 0, 0]",0,25,0.45764018094632775,0
"[255, 255, 0]",2,35,0.5395243939710781,0
"[0, 0, 255]",2,30,0.6279227009508759,0
"[255, 0, 0]",0,20,0.5621642339974642,0
"[0, 0, 255]",0,5,0.558387766010128,0
"[255, 255, 0]",2,5,0.5742123230593279,0
"[255, 0, 0]",2,25,0.654806234058924,0
"[255, 255, 0]",0,30,0.5686213390436023,0
"[255, 0, 0]",0,15,0.43075874203350395,0
"[255, 255, 0]",0,40,0.5548335349885747,0
"[255, 255, 0]",0,30,0.43490708200260997,0
"[0, 0, 255]",2,35,0.5557503540767357,0
"[255, 255, 0]",0,10,0.6106906089698896,1
"[255, 255, 0]",2,20,0.47040344402194023,0
"[255, 0, 0]",0,30,0.6578843260649592,0
"[0, 0, 255]",2,10,0.6376240010140464,0
"[0, 0, 255]",0,30,0.5478116390295327,0
"[255, 255, 0]",2,30,0.49311821698211133,0
"[255, 255, 0]",2,15,0.44263679697178304,0
"[0, 0, 255]",0,25,0.6411683600163087,0
"[255, 255, 0]",0,10,0.5675738010322675,0
"[0, 0, 255]",2,25,0.5938350909855217,0
"[0, 0, 255]",2,30,0.5907273089978844,0
"[255, 255, 0]",0,20,0.4655511979945004,0
"[255, 0, 0]",0,30,0.7511752170976251,0
