Color,Direction,Eccentricity (degrees),Reaction Time (s)
"[255, 255, 0]",2,25,0.5085517429979518,0
"[255, 255, 0]",0,35,0.4949935730546713,0
"[255, 255, 0]",2,40,0.44242633797694,0
"[255, 0, 0]",2,25,0.5494779410073534,0
"[0, 0, 255]",2,10,0.4817816630238667,0
"[0, 0, 255]",0,40,0.5576988880056888,0
"[255, 0, 0]",2,15,0.5658668630057946,0
"[255, 255, 0]",2,35,0.5517524760216475,0
"[255, 0, 0]",2,30,0.5577342819888145,0
"[255, 0, 0]",2,35,0.5196697739884257,0
"[255, 255, 0]",2,10,0.5238646599464118,0
"[0, 0, 255]",0,35,0.4585028209257871,0
"[0, 0, 255]",0,30,0.5190222839592025,0
"[0, 0, 255]",0,30,0.49791618902236223,0
"[0, 0, 255]",0,40,0.5265240269945934,0
"[255, 255, 0]",2,20,0.44454149797093123,0
"[255, 255, 0]",2,30,0.5274420590139925,0
"[255, 255, 0]",2,25,0.5150179089978337,0
"[255, 0, 0]",0,5,0.5129586439579725,0
"[0, 0, 255]",2,15,0.719837831100449,0
"[255, 0, 0]",0,25,0.467442161985673,0
"[0, 0, 255]",2,20,0.5207522069104016,0
"[255, 255, 0]",0,20,0.5767327969660982,0
"[255, 255, 0]",2,10,0.4719097809866071,0
"[255, 0, 0]",0,30,0.5989777930080891,0
"[255, 255, 0]",2,10,0.4404668160714209,0
"[255, 0, 0]",2,40,0.582891984959133,0
"[255, 0, 0]",0,10,0.49730526201892644,0
"[0, 0, 255]",0,35,0.466746489983052,0
"[255, 255, 0]",0,15,0.48557975701987743,0
"[255, 255, 0]",0,5,0.45306635496672243,0
"[255, 255, 0]",0,25,0.5097830640152097,0
"[255, 255, 0]",0,10,0.4819699580548331,0
"[255, 255, 0]",0,35,0.45468723599333316,0
"[255, 255, 0]",0,5,0.4033219290431589,0
"[0, 0, 255]",2,35,0.5197944359388202,1
"[255, 0, 0]",0,40,0.6458642029901966,0
"[255, 0, 0]",0,10,0.5207757339812815,0
"[0, 0, 255]",2,35,0.6033120619831607,0
"[255, 0, 0]",2,30,0.6169659600127488,0
"[255, 0, 0]",0,5,0.5710967039922252,0
"[255, 255, 0]",2,20,0.5407228709664196,0
"[0, 0, 255]",2,20,0.8258500089868903,0
"[0, 0, 255]",0,15,0.507558063021861,0
"[0, 0, 255]",0,25,0.4703353079967201,0
"[0, 0, 255]",2,35,0.622799992095679,0
"[255, 255, 0]",0,30,0.5304774369578809,0
"[0, 0, 255]",2,15,0.5662874330300838,0
"[255, 0, 0]",0,25,0.7161813779966906,0
"[255, 0, 0]",2,25,0.573094961931929,0
"[0, 0, 255]",2,5,0.5583936449838802,0
"[255, 0, 0]",0,30,0.6413015020079911,0
"[255, 255, 0]",0,35,0.5717290189350024,0
"[255, 0, 0]",0,20,0.6434754319489002,0
