Color,Direction,Eccentricity (degrees),Reaction Time (s)
"[0, 255, 0]",2,5,0.5211923569440842,0
"[0, 255, 0]",2,30,0.5511667110258713,0
"[255, 0, 0]",0,25,0.6085035129217431,0
"[0, 255, 0]",0,15,0.6780297419754788,0
"[0, 255, 0]",0,25,0.5621016509830952,0
"[0, 255, 0]",2,35,0.4967978859785944,0
"[255, 0, 0]",2,25,0.501330022001639,0
"[0, 255, 0]",2,40,0.5501803749939427,0
"[255, 0, 0]",0,30,0.5432438598945737,0
"[255, 0, 0]",0,35,0.5354368850821629,0
"[255, 0, 0]",2,5,0.5591335609788075,0
"[0, 255, 0]",0,40,0.5912080130074173,0
"[255, 0, 0]",0,20,0.4819998200982809,0
"[0, 255, 0]",0,25,0.5861155539751053,0
"[255, 0, 0]",0,5,0.6283365649869666,0
"[0, 255, 0]",2,15,0.5108591580064967,0
"[255, 0, 0]",2,40,0.5040078359888867,0
"[0, 255, 0]",0,30,0.5343800749396905,0
"[255, 0, 0]",2,30,0.5186967109329998,0
"[255, 0, 0]",2,15,0.47117767902091146,0
"[255, 0, 0]",2,5,0.4861370660364628,0
"[0, 255, 0]",2,25,0.5825302550802007,0
"[0, 255, 0]",2,30,0.7382304850034416,0
"[0, 255, 0]",0,20,0.4878730510827154,0
"[0, 255, 0]",0,15,0.538363320985809,0
"[255, 0, 0]",0,10,0.569077183958143,0
"[255, 0, 0]",0,5,0.5982283980119973,0
"[0, 255, 0]",2,40,0.6690186059568077,0
"[255, 0, 0]",0,25,0.5776206160662696,0
"[255, 0, 0]",0,30,0.4267571099335328,0
"[255, 0, 0]",2,10,0.49497882497962564,0
"[255, 0, 0]",2,20,0.4621548029826954,0
"[255, 0, 0]",2,40,0.45542007905896753,0
"[255, 0, 0]",2,20,0.4332120589679107,0
"[255, 0, 0]",0,15,0.42034504597540945,0
"[255, 0, 0]",2,20,0.42711481696460396,0
"[0, 255, 0]",0,30,0.6433976440457627,0
"[0, 255, 0]",0,25,0.46451816998887807,0
