Color,Direction,Eccentricity (degrees),Reaction Time (s)
"[255, 255, 0]",2,10,0.6623354268958792,0
"[0, 255, 0]",0,15,0.48839916207361966,0
"[0, 0, 255]",0,20,0.5404216840397567,0
"[255, 255, 0]",0,40,0.4788028820184991,0
"[0, 0, 255]",0,25,0.5999817320844159,0
"[255, 255, 0]",0,30,0.5516415840247646,0
"[255, 0, 0]",2,25,0.5306845080340281,0
"[255, 0, 0]",2,15,0.4597015669569373,0
"[255, 255, 0]",2,20,0.4989188859472051,0
"[0, 255, 0]",0,10,0.48047725099604577,0
"[0, 0, 255]",2,5,0.49462468398269266,0
"[255, 0, 0]",2,10,0.5355560960015282,0
"[255, 0, 0]",0,15,0.5277420289348811,0
"[0, 0, 255]",0,20,0.47067299799527973,0
"[0, 0, 255]",2,10,0.44531063199974597,0
"[0, 255, 0]",0,20,0.4646349500399083,0
"[0, 255, 0]",2,40,0.5388608820503578,0
"[0, 255, 0]",0,15,0.4946222329745069,0
"[0, 0, 255]",2,25,0.67376669193618,0
"[255, 255, 0]",2,15,0.5151811670511961,0
"[255, 255, 0]",0,30,0.527816568966955,0
"[0, 255, 0]",2,40,0.5299287149682641,0
"[0, 0, 255]",2,30,0.48676140897441655,0
"[255, 255, 0]",0,10,1.6035015339730307,0
"[0, 255, 0]",2,15,0.5027757179923356,0
"[255, 0, 0]",2,5,0.39223263692110777,0
"[255, 255, 0]",0,15,0.5226693439763039,0
"[255, 255, 0]",0,5,0.4688408520305529,0
"[0, 0, 255]",0,25,0.8670591560658067,0
"[0, 0, 255]",0,40,0.5024753380566835,0
"[255, 255, 0]",2,40,0.49507610697764903,0
"[255, 0, 0]",0,15,0.4258320559747517,1
"[255, 255, 0]",0,35,0.5483565899776295,0
"[0, 255, 0]",0,20,0.46688195306342095,0
"[0, 255, 0]",2,5,0.48641311505343765,0
"[255, 255, 0]",0,20,0.4814591860631481,0
"[0, 255, 0]",0,35,0.5520358419744298,0
"[0, 255, 0]",0,15,0.42789748997893184,0
"[255, 255, 0]",2,35,0.6557169089792296,0
"[255, 0, 0]",0,40,0.5722538400441408,0
"[255, 255, 0]",2,10,0.6647817500634119,0
"[0, 255, 0]",0,35,0.640669222921133,0
"[0, 255, 0]",2,20,0.41481402597855777,0
"[255, 0, 0]",2,25,0.4515675689326599,0
"[0, 255, 0]",2,5,0.43246819893829525,0
"[255, 255, 0]",2,5,0.5192780100042,0
"[255, 255, 0]",0,25,0.48754293005913496,0
"[0, 0, 255]",0,30,0.5858064900385216,0
"[255, 255, 0]",0,15,0.44109540700446814,0
"[255, 0, 0]",0,35,0.5371210870798677,0
"[255, 255, 0]",2,40,0.5525133900810033,0
"[255, 255, 0]",2,5,0.4834731840528548,0
"[0, 255, 0]",0,15,0.6225417689420283,0
"[255, 0, 0]",0,40,0.6075215779710561,0
"[0, 255, 0]",2,15,0.541652204003185,0
"[0, 0, 255]",2,25,0.5695221399655566,0
"[0, 0, 255]",2,35,0.5445576660567895,0
"[255, 255, 0]",0,5,0.48357567994389683,0
"[0, 255, 0]",2,20,0.5337230230215937,0
"[255, 0, 0]",2,5,0.5474907720927149,0
"[255, 0, 0]",2,35,0.61861375591252,0
"[255, 0, 0]",0,5,0.5423250780440867,0
"[255, 0, 0]",0,35,0.49985265696886927,0
"[255, 255, 0]",2,30,0.4340378020424396,0
"[0, 255, 0]",2,30,0.5402749999193475,0
"[255, 0, 0]",2,30,0.5381275069667026,0
"[0, 0, 255]",0,40,0.6087757810018957,0
"[255, 255, 0]",0,20,0.7466388910543174,0
"[255, 255, 0]",2,10,0.5102817419683561,0
"[0, 255, 0]",0,40,0.594401863985695,0
"[255, 255, 0]",2,15,0.5819599489914253,0
"[0, 255, 0]",2,20,0.4988465120550245,0
"[0, 255, 0]",0,15,0.4855181479360908,0
"[0, 255, 0]",0,30,0.4750807959353551,0
"[255, 255, 0]",2,30,0.45469500205945224,0
"[0, 0, 255]",0,25,0.5957635960076004,0
"[0, 255, 0]",0,5,0.48329135100357234,0
"[0, 255, 0]",2,10,0.40936195105314255,0
"[0, 0, 255]",0,30,0.5284702189965174,0
"[255, 255, 0]",0,5,0.4217716359999031,0
"[255, 0, 0]",2,25,0.6531753710005432,0
"[0, 255, 0]",2,5,0.5182954469928518,0
"[255, 255, 0]",2,15,0.48188867000862956,0
"[255, 0, 0]",2,5,0.5739165890263394,0
"[255, 255, 0]",2,15,0.42338692594785243,0
"[0, 0, 255]",2,15,0.6541464020265266,0
"[255, 255, 0]",0,5,0.47870290698483586,0
"[0, 255, 0]",0,10,0.5770669139456004,0
"[0, 255, 0]",0,30,0.48045825597364455,0
"[0, 255, 0]",2,40,0.5745722190476954,0
"[255, 255, 0]",2,40,0.7283866049256176,0
"[255, 0, 0]",2,15,0.7160493950359523,0
"[0, 255, 0]",2,25,0.6908814159687608,0
"[0, 255, 0]",0,30,0.5159876570105553,0
"[255, 255, 0]",0,25,0.5743599280249327,0
"[255, 0, 0]",0,5,0.5059065949171782,0
"[0, 255, 0]",2,20,0.511964904027991,0
"[0, 255, 0]",0,20,0.46743197296746075,0
"[0, 0, 255]",2,15,0.5307186590507627,0
"[0, 0, 255]",2,35,0.5365690449252725,0
"[255, 0, 0]",0,35,0.5945665229810402,0
"[255, 255, 0]",2,40,0.5795250969240442,0
"[0, 255, 0]",0,30,0.4778636939590797,0
"[0, 255, 0]",2,25,0.5007131359307095,0
"[0, 0, 255]",2,5,0.4737535120220855,0
"[0, 0, 255]",2,35,0.48158416093792766,0
"[0, 255, 0]",0,10,0.4846177870640531,0
"[255, 255, 0]",2,20,0.6332887819735333,0
"[255, 0, 0]",0,25,0.5986734549514949,0
"[255, 0, 0]",2,35,0.45961210201494396,0
"[255, 255, 0]",0,25,0.6549691259860992,0
"[0, 0, 255]",2,30,0.559565220028162,0
"[255, 255, 0]",2,35,0.4328681690385565,0
"[0, 255, 0]",2,40,0.5745100870262831,0
"[0, 0, 255]",0,5,0.5942324029747397,0
"[0, 0, 255]",0,25,0.5193481750320643,0
"[0, 0, 255]",0,15,0.49000957305543125,0
"[255, 0, 0]",0,10,0.5123904049396515,0
"[255, 0, 0]",0,10,0.4444926680298522,0
"[255, 255, 0]",2,20,0.5755564790451899,0
"[0, 0, 255]",2,20,0.5388289230177179,0
