Color,Direction,Eccentricity (degrees),Reaction Time (s)
"[0, 0, 255]",0,25,1.1343615090008825,0
"[255, 255, 0]",0,40,0.7311193610075861,0
"[255, 255, 0]",2,40,0.752354652970098,0
"[255, 255, 0]",2,30,0.6849795010639355,0
"[255, 255, 0]",0,10,0.512889233068563,0
"[255, 255, 0]",2,15,0.80380228406284,0
"[0, 0, 255]",2,10,0.6532824960304424,0
"[0, 0, 255]",2,35,0.58952081494499,0
"[0, 0, 255]",2,30,0.507419336005114,0
"[0, 0, 255]",0,35,0.4996500010602176,0
"[0, 0, 255]",0,35,0.4907439249800518,0
"[255, 255, 0]",2,30,0.5557472020154819,0
"[255, 255, 0]",0,25,0.6471939840121195,0
"[0, 0, 255]",0,25,0.5627707790117711,0
"[0, 0, 255]",2,25,0.49925901705864817,0
"[0, 0, 255]",0,10,0.5499556509312242,0
"[255, 255, 0]",0,20,0.5232741680229083,0
"[0, 0, 255]",0,5,0.5160826550563797,0
"[255, 255, 0]",2,20,0.5421082529937848,0
"[255, 255, 0]",0,30,0.49678399693220854,0
"[0, 0, 255]",0,5,0.6076023980276659,0
"[255, 255, 0]",2,40,0.57383403100539,0
"[255, 255, 0]",0,15,0.8026930920314044,1
"[0, 0, 255]",0,20,0.7241151969647035,0
"[0, 0, 255]",0,15,0.5804869410349056,0
"[0, 0, 255]",2,5,0.5724563039839268,0
"[255, 255, 0]",0,10,0.5556097340304404,0
"[0, 0, 255]",2,15,0.5759852359769866,0
"[0, 0, 255]",2,10,0.48774987703654915,0
"[255, 255, 0]",0,35,0.5993310600752011,0
"[0, 0, 255]",2,40,0.5761379590258002,0
"[0, 0, 255]",2,10,0.46620868204627186,0
"[0, 0, 255]",2,35,0.4472234009299427,0
"[255, 255, 0]",0,40,0.5529383299872279,0
"[0, 0, 255]",2,30,0.572177199064754,0
"[255, 255, 0]",2,40,0.5831209570169449,0
"[255, 255, 0]",2,5,0.5011493560159579,0
"[255, 255, 0]",0,20,0.48358852905221283,0
"[255, 255, 0]",0,25,0.49989217100664973,0
"[0, 0, 255]",0,40,1.1217130050063133,0
"[0, 0, 255]",2,20,2.4323848970234394,1
"[0, 0, 255]",0,35,0.9027762539917603,0
"[0, 0, 255]",2,40,0.6507081460440531,0
"[0, 0, 255]",2,25,1.1993937529623508,0
"[0, 0, 255]",2,25,0.4204262610292062,0
"[0, 0, 255]",0,30,0.5083412220701575,0
"[0, 0, 255]",2,15,0.46734224900137633,0
"[0, 0, 255]",0,15,0.5283361650072038,0
"[255, 255, 0]",2,30,0.5894271719735116,0
"[0, 0, 255]",2,35,0.5420269460882992,1
"[255, 255, 0]",2,20,0.5521509629907086,0
"[255, 255, 0]",0,25,0.47127389709930867,0
"[0, 0, 255]",0,15,0.5681496780598536,0
"[0, 0, 255]",0,25,0.4618195859948173,0
"[255, 255, 0]",2,35,0.6639996570302173,0
"[255, 255, 0]",0,30,0.7425807809922844,0
"[0, 0, 255]",0,30,0.7851284510688856,0
"[255, 255, 0]",2,5,0.633769923937507,0
"[255, 255, 0]",2,5,0.6080437400378287,0
"[255, 255, 0]",2,10,0.47250381601043046,0
"[255, 255, 0]",0,5,0.5133548789890483,0
"[255, 255, 0]",0,40,0.5011565529275686,0
"[255, 255, 0]",0,20,0.49873658595606685,0
"[0, 0, 255]",0,5,0.6692538569914177,0
"[255, 255, 0]",0,10,0.6266317919362336,0
"[0, 0, 255]",2,20,0.5490262809908018,0
"[255, 255, 0]",2,15,0.5819807490333915,0
"[255, 255, 0]",2,35,0.702063743956387,0
"[255, 255, 0]",2,20,0.6640059630153701,0
